Item	Condition	Order	Quantity	Left	Mid	Right	Instruction	Subject	RT	RESPONSE
1	2	1	1	6	15	24	"Choose the square with 6 dots"	28	1239	LEFT
2	3	1	1	16	25	34	"Choose a square with few dots"	28	1258	LEFT
3	1	1	1	26	35	44	"Choose a square with about 30 dots"	28	1309	MIDDLE
4	1	2	1	54	45	36	"Choose a square with about 40 dots"	28	2266	RIGHT
1	2	2	1	24	15	6	"Choose the square with 6 dots"	28	1288	RIGHT
2	4	1	2	16	25	34	"Choose the square with the most dots"	28	1283	RIGHT
3	2	1	2	26	35	44	"Choose the square with 44 dots"	28	2341	MIDDLE
4	3	2	2	54	45	36	"Choose a square with many dots"	28	1169	LEFT
1	1	2	2	24	15	6	"Choose a square with about 20 dots"	28	1472	LEFT
2	1	2	2	34	25	16	"Choose a square with about 30 dots"	28	2238	MIDDLE
3	2	2	2	44	35	26	"Choose the square with 44 dots"	28	2117	LEFT
4	3	1	2	36	45	54	"Choose a square with many dots"	28	1237	RIGHT
1	2	2	2	24	15	6	"Choose the square with 24 dots"	28	1315	LEFT
2	1	2	1	34	25	16	"Choose a square with about 20 dots"	28	2401	RIGHT
3	4	2	2	44	35	26	"Choose the square with the most dots"	28	1302	LEFT
4	1	1	1	36	45	54	"Choose a square with about 40 dots"	28	1799	MIDDLE
1	3	1	2	6	15	24	"Choose a square with many dots"	28	1240	RIGHT
2	3	2	2	34	25	16	"Choose a square with many dots"	28	1185	LEFT
3	1	1	2	26	35	44	"Choose a square with about 40 dots"	28	1481	MIDDLE
4	1	2	2	54	45	36	"Choose a square with about 50 dots"	28	2008	MIDDLE
1	4	1	1	6	15	24	"Choose the square with the fewest dots"	28	900	LEFT
2	1	1	2	16	25	34	"Choose a square with about 30 dots"	28	1638	RIGHT
3	4	1	2	26	35	44	"Choose the square with the most dots"	28	1266	RIGHT
4	4	1	1	36	45	54	"Choose the square with the fewest dots"	28	1409	LEFT
1	4	2	2	24	15	6	"Choose the square with the most dots"	28	1088	LEFT
2	4	2	1	34	25	16	"Choose the square with the fewest dots"	28	1184	RIGHT
3	1	2	1	44	35	26	"Choose a square with about 30 dots"	28	1559	MIDDLE
4	2	2	1	54	45	36	"Choose the square with 36 dots"	28	2091	RIGHT
1	3	2	1	24	15	6	"Choose a square with few dots"	28	1031	RIGHT
2	2	2	1	34	25	16	"Choose the square with 16 dots"	28	1532	RIGHT
3	3	1	2	26	35	44	"Choose a square with many dots"	28	1170	RIGHT
4	2	1	2	36	45	54	"Choose the square with 54 dots"	28	1713	MIDDLE
1	3	1	1	6	15	24	"Choose a square with few dots"	28	894	LEFT
2	3	2	1	34	25	16	"Choose a square with few dots"	28	2118	RIGHT
