Item	Condition	Order	Quantity	Left	Mid	Right	Instruction	Subject	RT	RESPONSE
1	4	1	1	6	15	24	"Choose the square with the fewest dots"	25	3109	LEFT
2	2	1	2	16	25	34	"Choose the square with 34 dots"	25	2634	RIGHT
3	4	2	2	44	35	26	"Choose the square with the most dots"	25	2120	LEFT
4	3	2	1	54	45	36	"Choose a square with few dots"	25	2904	RIGHT
1	4	2	1	24	15	6	"Choose the square with the fewest dots"	25	1570	RIGHT
2	3	2	1	34	25	16	"Choose a square with few dots"	25	3719	RIGHT
3	2	1	1	26	35	44	"Choose the square with 26 dots"	25	9956	LEFT
4	3	2	2	54	45	36	"Choose a square with many dots"	25	1444	LEFT
1	2	2	1	24	15	6	"Choose the square with 6 dots"	25	1935	RIGHT
2	1	2	2	34	25	16	"Choose a square with about 30 dots"	25	1652	LEFT
3	1	1	1	26	35	44	"Choose a square with about 30 dots"	25	2572	RIGHT
4	2	1	2	36	45	54	"Choose the square with 54 dots"	25	1903	RIGHT
1	2	2	2	24	15	6	"Choose the square with 24 dots"	25	2565	LEFT
2	4	1	2	16	25	34	"Choose the square with the most dots"	25	2297	RIGHT
3	1	2	2	44	35	26	"Choose a square with about 40 dots"	25	1751	LEFT
4	3	1	2	36	45	54	"Choose a square with many dots"	25	2278	RIGHT
1	1	2	1	24	15	6	"Choose a square with about 10 dots"	25	3092	MIDDLE
2	2	1	1	16	25	34	"Choose the square with 16 dots"	25	6873	LEFT
3	1	2	1	44	35	26	"Choose a square with about 30 dots"	25	8257	MIDDLE
4	4	2	2	54	45	36	"Choose the square with the most dots"	25	1841	LEFT
1	3	2	2	24	15	6	"Choose a square with many dots"	25	1777	LEFT
2	4	2	2	34	25	16	"Choose the square with the most dots"	25	1522	LEFT
3	3	1	1	26	35	44	"Choose a square with few dots"	25	3227	LEFT
4	2	2	2	54	45	36	"Choose the square with 54 dots"	25	1912	LEFT
1	2	1	2	6	15	24	"Choose the square with 24 dots"	25	1643	RIGHT
2	3	1	2	16	25	34	"Choose a square with many dots"	25	1957	RIGHT
3	4	2	1	44	35	26	"Choose the square with the fewest dots"	25	3612	RIGHT
4	4	1	1	36	45	54	"Choose the square with the fewest dots"	25	3360	LEFT
1	4	2	2	24	15	6	"Choose the square with the most dots"	25	2259	LEFT
2	1	2	1	34	25	16	"Choose a square with about 20 dots"	25	6832	MIDDLE
3	2	2	2	44	35	26	"Choose the square with 44 dots"	25	4152	LEFT
4	2	2	1	54	45	36	"Choose the square with 36 dots"	25	6212	MIDDLE
1	4	1	2	6	15	24	"Choose the square with the most dots"	25	1378	RIGHT
2	1	1	1	16	25	34	"Choose a square with about 20 dots"	25	5639	LEFT
3	2	1	2	26	35	44	"Choose the square with 44 dots"	25	1547	RIGHT
4	1	1	1	36	45	54	"Choose a square with about 40 dots"	25	4632	RIGHT
1	2	1	1	6	15	24	"Choose the square with 6 dots"	25	2237	LEFT
2	4	1	1	16	25	34	"Choose the square with the fewest dots"	25	1619	LEFT
3	4	1	1	26	35	44	"Choose the square with the fewest dots"	25	4348	LEFT
