"Item","Condition","Order","Quantity","Left","Mid","Right","Instruction"
1,1,1,1,6,15,24,"Choose a square with about 10 dots"
1,1,1,2,6,15,24,"Choose a square with about 20 dots"
1,1,2,1,24,15,6,"Choose a square with about 10 dots"
1,1,2,2,24,15,6,"Choose a square with about 20 dots"
1,2,1,1,6,15,24,"Choose the square with 6 dots"
1,2,1,2,6,15,24,"Choose the square with 24 dots"
1,2,2,1,24,15,6,"Choose the square with 6 dots"
1,2,2,2,24,15,6,"Choose the square with 24 dots"
1,3,1,1,6,15,24,"Choose a square with few dots"
1,3,1,2,6,15,24,"Choose a square with many dots"
1,3,2,1,24,15,6,"Choose a square with few dots"
1,3,2,2,24,15,6,"Choose a square with many dots"
1,4,1,1,6,15,24,"Choose the square with the fewest dots"
1,4,1,2,6,15,24,"Choose the square with the most dots"
1,4,2,1,24,15,6,"Choose the square with the fewest dots"
1,4,2,2,24,15,6,"Choose the square with the most dots"
2,1,1,1,16,25,34,"Choose a square with about 20 dots"
2,1,1,2,16,25,34,"Choose a square with about 30 dots"
2,1,2,1,34,25,16,"Choose a square with about 20 dots"
2,1,2,2,34,25,16,"Choose a square with about 30 dots"
2,2,1,1,16,25,34,"Choose the square with 16 dots"
2,2,1,2,16,25,34,"Choose the square with 34 dots"
2,2,2,1,34,25,16,"Choose the square with 16 dots"
2,2,2,2,34,25,16,"Choose the square with 34 dots"
2,3,1,1,16,25,34,"Choose a square with few dots"
2,3,1,2,16,25,34,"Choose a square with many dots"
2,3,2,1,34,25,16,"Choose a square with few dots"
2,3,2,2,34,25,16,"Choose a square with many dots"
2,4,1,1,16,25,34,"Choose the square with the fewest dots"
2,4,1,2,16,25,34,"Choose the square with the most dots"
2,4,2,1,34,25,16,"Choose the square with the fewest dots"
2,4,2,2,34,25,16,"Choose the square with the most dots"
3,1,1,1,26,35,44,"Choose a square with about 30 dots"
3,1,1,2,26,35,44,"Choose a square with about 40 dots"
3,1,2,1,44,35,26,"Choose a square with about 30 dots"
3,1,2,2,44,35,26,"Choose a square with about 40 dots"
3,2,1,1,26,35,44,"Choose the square with 26 dots"
3,2,1,2,26,35,44,"Choose the square with 44 dots"
3,2,2,1,44,35,26,"Choose the square with 26 dots"
3,2,2,2,44,35,26,"Choose the square with 44 dots"
3,3,1,1,26,35,44,"Choose a square with few dots"
3,3,1,2,26,35,44,"Choose a square with many dots"
3,3,2,1,44,35,26,"Choose a square with few dots"
3,3,2,2,44,35,26,"Choose a square with many dots"
3,4,1,1,26,35,44,"Choose the square with the fewest dots"
3,4,1,2,26,35,44,"Choose the square with the most dots"
3,4,2,1,44,35,26,"Choose the square with the fewest dots"
3,4,2,2,44,35,26,"Choose the square with the most dots"
4,1,1,1,36,45,54,"Choose a square with about 40 dots"
4,1,1,2,36,45,54,"Choose a square with about 50 dots"
4,1,2,1,54,45,36,"Choose a square with about 40 dots"
4,1,2,2,54,45,36,"Choose a square with about 50 dots"
4,2,1,1,36,45,54,"Choose the square with 36 dots"
4,2,1,2,36,45,54,"Choose the square with 54 dots"
4,2,2,1,54,45,36,"Choose the square with 36 dots"
4,2,2,2,54,45,36,"Choose the square with 54 dots"
4,3,1,1,36,45,54,"Choose a square with few dots"
4,3,1,2,36,45,54,"Choose a square with many dots"
4,3,2,1,54,45,36,"Choose a square with few dots"
4,3,2,2,54,45,36,"Choose a square with many dots"
4,4,1,1,36,45,54,"Choose the square with the fewest dots"
4,4,1,2,36,45,54,"Choose the square with the most dots"
4,4,2,1,54,45,36,"Choose the square with the fewest dots"
4,4,2,2,54,45,36,"Choose the square with the most dots"
