Item	Condition	Order	Quantity	Left	Mid	Right	Instruction	Subject	RT	RESPONSE
1	3	2	2	24	15	6	"Choose a square with many dots"	13	1881	LEFT
2	3	1	1	16	25	34	"Choose a square with few dots"	13	1594	LEFT
3	4	1	2	26	35	44	"Choose the square with the most dots"	13	1255	RIGHT
4	3	2	1	54	45	36	"Choose a square with few dots"	13	2546	RIGHT
1	3	2	1	24	15	6	"Choose a square with few dots"	13	1414	RIGHT
2	2	1	1	16	25	34	"Choose the square with 16 dots"	13	3230	LEFT
3	3	1	1	26	35	44	"Choose a square with few dots"	13	1697	LEFT
4	4	1	2	36	45	54	"Choose the square with the most dots"	13	2500	RIGHT
1	1	1	1	6	15	24	"Choose a square with about 10 dots"	13	7449	LEFT
2	4	1	1	16	25	34	"Choose the square with the fewest dots"	13	1247	LEFT
3	1	1	1	26	35	44	"Choose a square with about 30 dots"	13	8401	MIDDLE
4	1	1	2	36	45	54	"Choose a square with about 50 dots"	13	3721	RIGHT
1	2	1	1	6	15	24	"Choose the square with 6 dots"	13	3541	LEFT
2	1	1	2	16	25	34	"Choose a square with about 30 dots"	13	7292	RIGHT
3	2	1	1	26	35	44	"Choose the square with 26 dots"	13	2958	LEFT
4	2	1	2	36	45	54	"Choose the square with 54 dots"	13	18525	RIGHT
1	1	2	1	24	15	6	"Choose a square with about 10 dots"	13	2357	MIDDLE
2	1	2	2	34	25	16	"Choose a square with about 30 dots"	13	2645	MIDDLE
3	1	2	1	44	35	26	"Choose a square with about 30 dots"	13	4053	RIGHT
4	1	2	2	54	45	36	"Choose a square with about 50 dots"	13	3492	MIDDLE
1	1	2	2	24	15	6	"Choose a square with about 20 dots"	13	2754	LEFT
2	4	2	2	34	25	16	"Choose the square with the most dots"	13	5244	LEFT
3	3	2	2	44	35	26	"Choose a square with many dots"	13	3678	LEFT
4	4	2	1	54	45	36	"Choose the square with the fewest dots"	13	1499	RIGHT
1	4	2	1	24	15	6	"Choose the square with the fewest dots"	13	1597	RIGHT
2	3	1	2	16	25	34	"Choose a square with many dots"	13	1392	RIGHT
3	2	2	1	44	35	26	"Choose the square with 26 dots"	13	2442	RIGHT
4	1	1	1	36	45	54	"Choose a square with about 40 dots"	13	2918	RIGHT
1	2	1	2	6	15	24	"Choose the square with 24 dots"	13	1584	RIGHT
2	2	1	2	16	25	34	"Choose the square with 34 dots"	13	13756	RIGHT
3	4	1	1	26	35	44	"Choose the square with the fewest dots"	13	1605	LEFT
4	2	2	2	54	45	36	"Choose the square with 54 dots"	13	13044	LEFT
1	2	2	1	24	15	6	"Choose the square with 6 dots"	13	1469	RIGHT
2	2	2	2	34	25	16	"Choose the square with 34 dots"	13	22067	LEFT
3	3	2	1	44	35	26	"Choose a square with few dots"	13	1440	RIGHT
4	3	2	2	54	45	36	"Choose a square with many dots"	13	1759	LEFT
1	4	1	1	6	15	24	"Choose the square with the fewest dots"	13	1459	LEFT
2	3	2	2	34	25	16	"Choose a square with many dots"	13	2055	LEFT
3	3	1	2	26	35	44	"Choose a square with many dots"	13	1514	RIGHT
4	2	1	1	36	45	54	"Choose the square with 36 dots"	13	5113	MIDDLE
1	4	2	2	24	15	6	"Choose the square with the most dots"	13	1356	LEFT
2	2	2	1	34	25	16	"Choose the square with 16 dots"	13	2057	RIGHT
3	2	1	2	26	35	44	"Choose the square with 44 dots"	13	5579	RIGHT
4	4	1	1	36	45	54	"Choose the square with the fewest dots"	13	1252	LEFT
1	1	1	2	6	15	24	"Choose a square with about 20 dots"	13	10122	MIDDLE
2	4	2	1	34	25	16	"Choose the square with the fewest dots"	13	2514	RIGHT
