Item	Condition	Order	Quantity	Left	Mid	Right	Instruction	Subject	RT	RESPONSE
1	2	2	2	24	15	6	"Choose the square with 24 dots"	29	5952	LEFT
2	3	2	2	34	25	16	"Choose a square with many dots"	29	1838	LEFT
3	1	2	2	44	35	26	"Choose a square with about 40 dots"	29	6804	MIDDLE
4	2	2	1	54	45	36	"Choose the square with 36 dots"	29	5205	RIGHT
1	3	1	1	6	15	24	"Choose a square with few dots"	29	1493	LEFT
2	2	2	2	34	25	16	"Choose the square with 34 dots"	29	6241	MIDDLE
3	3	1	2	26	35	44	"Choose a square with many dots"	29	1795	RIGHT
4	4	2	1	54	45	36	"Choose the square with the fewest dots"	29	8994	RIGHT
1	1	2	1	24	15	6	"Choose a square with about 10 dots"	29	8425	RIGHT
2	2	1	2	16	25	34	"Choose the square with 34 dots"	29	4560	RIGHT
3	1	1	1	26	35	44	"Choose a square with about 30 dots"	29	12352	MIDDLE
4	1	1	2	36	45	54	"Choose a square with about 50 dots"	29	13298	RIGHT
1	2	2	1	24	15	6	"Choose the square with 6 dots"	29	2599	RIGHT
2	1	1	1	16	25	34	"Choose a square with about 20 dots"	29	9662	MIDDLE
3	3	1	1	26	35	44	"Choose a square with few dots"	29	5986	LEFT
4	4	2	2	54	45	36	"Choose the square with the most dots"	29	3896	LEFT
1	1	1	1	6	15	24	"Choose a square with about 10 dots"	29	6253	LEFT
2	3	2	1	34	25	16	"Choose a square with few dots"	29	3090	RIGHT
3	4	1	1	26	35	44	"Choose the square with the fewest dots"	29	6652	LEFT
4	3	1	2	36	45	54	"Choose a square with many dots"	29	1971	RIGHT
1	3	2	1	24	15	6	"Choose a square with few dots"	29	1528	RIGHT
2	3	1	2	16	25	34	"Choose a square with many dots"	29	2682	RIGHT
3	1	1	2	26	35	44	"Choose a square with about 40 dots"	29	3523	LEFT
4	2	1	1	36	45	54	"Choose the square with 36 dots"	29	9696	MIDDLE
1	3	1	2	6	15	24	"Choose a square with many dots"	29	2165	RIGHT
2	1	2	1	34	25	16	"Choose a square with about 20 dots"	29	2099	RIGHT
3	1	2	1	44	35	26	"Choose a square with about 30 dots"	29	3089	MIDDLE
4	3	2	1	54	45	36	"Choose a square with few dots"	29	2536	RIGHT
1	4	1	2	6	15	24	"Choose the square with the most dots"	29	1897	RIGHT
2	1	1	2	16	25	34	"Choose a square with about 30 dots"	29	11212	MIDDLE
3	3	2	2	44	35	26	"Choose a square with many dots"	29	2420	LEFT
4	1	2	2	54	45	36	"Choose a square with about 50 dots"	29	2289	LEFT
1	1	1	2	6	15	24	"Choose a square with about 20 dots"	29	2313	RIGHT
2	4	2	1	34	25	16	"Choose the square with the fewest dots"	29	2376	RIGHT
3	2	2	1	44	35	26	"Choose the square with 26 dots"	29	2470	RIGHT
4	3	1	1	36	45	54	"Choose a square with few dots"	29	6714	LEFT
1	4	2	2	24	15	6	"Choose the square with the most dots"	29	2379	LEFT
2	4	1	1	16	25	34	"Choose the square with the fewest dots"	29	13687	LEFT
3	4	2	1	44	35	26	"Choose the square with the fewest dots"	29	2867	RIGHT
4	3	2	2	54	45	36	"Choose a square with many dots"	29	4205	LEFT
1	3	2	2	24	15	6	"Choose a square with many dots"	29	2825	LEFT
2	4	2	2	34	25	16	"Choose the square with the most dots"	29	2329	LEFT
3	2	1	2	26	35	44	"Choose the square with 44 dots"	29	14198	RIGHT
4	1	2	1	54	45	36	"Choose a square with about 40 dots"	29	2438	MIDDLE
1	2	1	1	6	15	24	"Choose the square with 6 dots"	29	1950	LEFT
