Item	Condition	Order	Quantity	Left	Mid	Right	Instruction	Subject	RT	RESPONSE
1	2	1	2	6	15	24	"Choose the square with 24 dots"	26	1737	RIGHT
2	4	1	1	16	25	34	"Choose the square with the fewest dots"	26	2120	LEFT
3	3	2	2	44	35	26	"Choose a square with many dots"	26	1707	LEFT
4	2	2	1	54	45	36	"Choose the square with 36 dots"	26	5492	MIDDLE
1	4	1	1	6	15	24	"Choose the square with the fewest dots"	26	1899	LEFT
2	3	1	1	16	25	34	"Choose a square with few dots"	26	3642	LEFT
3	3	1	2	26	35	44	"Choose a square with many dots"	26	2136	RIGHT
4	1	1	2	36	45	54	"Choose a square with about 50 dots"	26	2818	RIGHT
1	4	1	2	6	15	24	"Choose the square with the most dots"	26	1579	RIGHT
2	2	2	2	34	25	16	"Choose the square with 34 dots"	26	2102	LEFT
3	1	2	1	44	35	26	"Choose a square with about 30 dots"	26	2041	LEFT
4	1	2	1	54	45	36	"Choose a square with about 40 dots"	26	1586	LEFT
1	1	2	2	24	15	6	"Choose a square with about 20 dots"	26	2186	LEFT
2	1	1	1	16	25	34	"Choose a square with about 20 dots"	26	3299	MIDDLE
3	3	2	1	44	35	26	"Choose a square with few dots"	26	2626	RIGHT
4	1	2	2	54	45	36	"Choose a square with about 50 dots"	26	2758	LEFT
1	4	2	1	24	15	6	"Choose the square with the fewest dots"	26	1793	RIGHT
2	4	1	2	16	25	34	"Choose the square with the most dots"	26	1140	RIGHT
3	1	1	2	26	35	44	"Choose a square with about 40 dots"	26	2277	RIGHT
4	3	2	2	54	45	36	"Choose a square with many dots"	26	1276	LEFT
1	2	1	1	6	15	24	"Choose the square with 6 dots"	26	1461	LEFT
2	3	2	2	34	25	16	"Choose a square with many dots"	26	1010	LEFT
3	2	2	1	44	35	26	"Choose the square with 26 dots"	26	1845	MIDDLE
4	4	2	1	54	45	36	"Choose the square with the fewest dots"	26	2116	RIGHT
1	3	1	2	6	15	24	"Choose a square with many dots"	26	959	LEFT
2	4	2	1	34	25	16	"Choose the square with the fewest dots"	26	2165	RIGHT
3	2	2	2	44	35	26	"Choose the square with 44 dots"	26	1255	LEFT
4	3	2	1	54	45	36	"Choose a square with few dots"	26	2106	RIGHT
1	2	2	2	24	15	6	"Choose the square with 24 dots"	26	1007	LEFT
2	3	1	2	16	25	34	"Choose a square with many dots"	26	848	RIGHT
3	4	1	1	26	35	44	"Choose the square with the fewest dots"	26	1442	LEFT
4	2	1	2	36	45	54	"Choose the square with 54 dots"	26	1052	RIGHT
1	1	1	1	6	15	24	"Choose a square with about 10 dots"	26	5850	LEFT
2	1	2	2	34	25	16	"Choose a square with about 30 dots"	26	1008	LEFT
3	1	1	1	26	35	44	"Choose a square with about 30 dots"	26	2277	MIDDLE
4	2	1	1	36	45	54	"Choose the square with 36 dots"	26	2014	MIDDLE
1	3	2	2	24	15	6	"Choose a square with many dots"	26	1472	LEFT
2	1	1	2	16	25	34	"Choose a square with about 30 dots"	26	2898	RIGHT
3	2	1	2	26	35	44	"Choose the square with 44 dots"	26	1685	RIGHT
4	4	2	2	54	45	36	"Choose the square with the most dots"	26	1061	LEFT
1	2	2	1	24	15	6	"Choose the square with 6 dots"	26	1687	RIGHT
2	1	2	1	34	25	16	"Choose a square with about 20 dots"	26	2135	MIDDLE
3	2	1	1	26	35	44	"Choose the square with 26 dots"	26	2199	LEFT
4	4	1	2	36	45	54	"Choose the square with the most dots"	26	2032	RIGHT
1	4	2	2	24	15	6	"Choose the square with the most dots"	26	1858	LEFT
2	2	2	1	34	25	16	"Choose the square with 16 dots"	26	1770	RIGHT
3	4	1	2	26	35	44	"Choose the square with the most dots"	26	1114	RIGHT
4	3	1	1	36	45	54	"Choose a square with few dots"	26	3472	LEFT
1	1	2	1	24	15	6	"Choose a square with about 10 dots"	26	3501	RIGHT
2	2	1	2	16	25	34	"Choose the square with 34 dots"	26	1693	RIGHT
3	4	2	1	44	35	26	"Choose the square with the fewest dots"	26	1765	RIGHT
4	1	1	1	36	45	54	"Choose a square with about 40 dots"	26	3179	MIDDLE
1	3	1	1	6	15	24	"Choose a square with few dots"	26	1310	LEFT
2	2	1	1	16	25	34	"Choose the square with 16 dots"	26	1862	LEFT
3	1	2	2	44	35	26	"Choose a square with about 40 dots"	26	1674	LEFT
4	4	1	1	36	45	54	"Choose the square with the fewest dots"	26	1694	LEFT
1	3	2	1	24	15	6	"Choose a square with few dots"	26	1540	RIGHT
2	3	2	1	34	25	16	"Choose a square with few dots"	26	1536	RIGHT
3	3	1	1	26	35	44	"Choose a square with few dots"	26	1207	LEFT
4	2	2	2	54	45	36	"Choose the square with 54 dots"	26	1550	LEFT
1	1	1	2	6	15	24	"Choose a square with about 20 dots"	26	2109	MIDDLE
2	4	2	2	34	25	16	"Choose the square with the most dots"	26	1359	LEFT
3	4	2	2	44	35	26	"Choose the square with the most dots"	26	1526	LEFT
4	3	1	2	36	45	54	"Choose a square with many dots"	26	2041	RIGHT
1	1	1	2	6	15	24	"Choose a square with about 20 dots"	26	2268	RIGHT
2	3	1	2	16	25	34	"Choose a square with many dots"	26	980	RIGHT
3	1	1	1	26	35	44	"Choose a square with about 30 dots"	26	1914	MIDDLE
4	4	1	1	36	45	54	"Choose the square with the fewest dots"	26	1336	LEFT
1	2	1	1	6	15	24	"Choose the square with 6 dots"	26	1244	LEFT
2	3	2	1	34	25	16	"Choose a square with few dots"	26	1819	RIGHT
3	2	1	1	26	35	44	"Choose the square with 26 dots"	26	1622	MIDDLE
4	4	2	1	54	45	36	"Choose the square with the fewest dots"	26	1935	RIGHT
1	3	2	1	24	15	6	"Choose a square with few dots"	26	858	RIGHT
2	1	1	1	16	25	34	"Choose a square with about 20 dots"	26	1611	MIDDLE
3	4	1	1	26	35	44	"Choose the square with the fewest dots"	26	1303	LEFT
4	1	1	2	36	45	54	"Choose a square with about 50 dots"	26	1395	RIGHT
1	4	1	1	6	15	24	"Choose the square with the fewest dots"	26	1692	LEFT
2	1	2	2	34	25	16	"Choose a square with about 30 dots"	26	1595	LEFT
3	2	2	1	44	35	26	"Choose the square with 26 dots"	26	1524	MIDDLE
4	3	2	1	54	45	36	"Choose a square with few dots"	26	1726	RIGHT
1	1	2	1	24	15	6	"Choose a square with about 10 dots"	26	1712	MIDDLE
2	2	1	2	16	25	34	"Choose the square with 34 dots"	26	1058	RIGHT
3	3	2	2	44	35	26	"Choose a square with many dots"	26	1108	LEFT
4	1	1	1	36	45	54	"Choose a square with about 40 dots"	26	1691	RIGHT
1	3	1	2	6	15	24	"Choose a square with many dots"	26	879	RIGHT
2	1	2	1	34	25	16	"Choose a square with about 20 dots"	26	1365	MIDDLE
3	3	2	1	44	35	26	"Choose a square with few dots"	26	1181	RIGHT
4	4	2	2	54	45	36	"Choose the square with the most dots"	26	1078	LEFT
1	1	1	1	6	15	24	"Choose a square with about 10 dots"	26	3100	MIDDLE
