Item	Condition	Order	Quantity	Left	Mid	Right	Instruction	Subject	RT	RESPONSE
1	4	1	1	6	15	24	"Choose the square with the fewest dots"	19	2519	LEFT
2	3	1	1	16	25	34	"Choose a square with few dots"	19	3881	LEFT
3	3	1	1	26	35	44	"Choose a square with few dots"	19	5363	LEFT
4	4	2	2	54	45	36	"Choose the square with the most dots"	19	5943	LEFT
1	2	1	1	6	15	24	"Choose the square with 6 dots"	19	2655	LEFT
2	2	1	1	16	25	34	"Choose the square with 16 dots"	19	3112	LEFT
3	3	2	1	44	35	26	"Choose a square with few dots"	19	4402	RIGHT
4	4	1	1	36	45	54	"Choose the square with the fewest dots"	19	4879	LEFT
1	2	2	2	24	15	6	"Choose the square with 24 dots"	19	6421	MIDDLE
2	4	2	1	34	25	16	"Choose the square with the fewest dots"	19	4939	RIGHT
3	1	1	1	26	35	44	"Choose a square with about 30 dots"	19	4965	LEFT
4	1	2	1	54	45	36	"Choose a square with about 40 dots"	19	4469	RIGHT
1	1	2	2	24	15	6	"Choose a square with about 20 dots"	19	6358	LEFT
2	3	2	2	34	25	16	"Choose a square with many dots"	19	9309	MIDDLE
3	2	2	1	44	35	26	"Choose the square with 26 dots"	19	11223	RIGHT
4	4	2	1	54	45	36	"Choose the square with the fewest dots"	19	2322	RIGHT
1	4	2	1	24	15	6	"Choose the square with the fewest dots"	19	2576	RIGHT
2	1	1	2	16	25	34	"Choose a square with about 30 dots"	19	6481	RIGHT
3	2	1	2	26	35	44	"Choose the square with 44 dots"	19	4061	RIGHT
4	2	1	2	36	45	54	"Choose the square with 54 dots"	19	10309	RIGHT
1	3	1	2	6	15	24	"Choose a square with many dots"	19	4795	MIDDLE
2	4	1	1	16	25	34	"Choose the square with the fewest dots"	19	2781	LEFT
3	3	2	2	44	35	26	"Choose a square with many dots"	19	4601	MIDDLE
4	3	2	1	54	45	36	"Choose a square with few dots"	19	4656	RIGHT
1	3	2	1	24	15	6	"Choose a square with few dots"	19	4540	RIGHT
2	2	2	1	34	25	16	"Choose the square with 16 dots"	19	6073	RIGHT
3	2	1	1	26	35	44	"Choose the square with 26 dots"	19	9934	LEFT
4	2	1	1	36	45	54	"Choose the square with 36 dots"	19	5323	MIDDLE
1	4	2	2	24	15	6	"Choose the square with the most dots"	19	2038	LEFT
2	2	1	2	16	25	34	"Choose the square with 34 dots"	19	4084	RIGHT
3	1	1	2	26	35	44	"Choose a square with about 40 dots"	19	2911	RIGHT
4	1	1	1	36	45	54	"Choose a square with about 40 dots"	19	5324	RIGHT
1	1	1	1	6	15	24	"Choose a square with about 10 dots"	19	6311	MIDDLE
2	4	2	2	34	25	16	"Choose the square with the most dots"	19	1957	LEFT
3	3	1	2	26	35	44	"Choose a square with many dots"	19	4964	MIDDLE
4	3	1	2	36	45	54	"Choose a square with many dots"	19	3807	MIDDLE
1	1	2	1	24	15	6	"Choose a square with about 10 dots"	19	2699	MIDDLE
2	3	2	1	34	25	16	"Choose a square with few dots"	19	6665	RIGHT
3	1	2	1	44	35	26	"Choose a square with about 30 dots"	19	6956	MIDDLE
4	1	1	2	36	45	54	"Choose a square with about 50 dots"	19	3618	RIGHT
1	3	2	2	24	15	6	"Choose a square with many dots"	19	11513	MIDDLE
2	1	2	1	34	25	16	"Choose a square with about 20 dots"	19	5155	MIDDLE
3	4	1	2	26	35	44	"Choose the square with the most dots"	19	2057	RIGHT
4	3	2	2	54	45	36	"Choose a square with many dots"	19	6757	MIDDLE
1	2	1	2	6	15	24	"Choose the square with 24 dots"	19	3460	RIGHT
2	3	1	2	16	25	34	"Choose a square with many dots"	19	2954	MIDDLE
3	1	2	2	44	35	26	"Choose a square with about 40 dots"	19	3049	LEFT
4	1	2	2	54	45	36	"Choose a square with about 50 dots"	19	1998	LEFT
1	3	1	1	6	15	24	"Choose a square with few dots"	19	2385	LEFT
2	4	1	2	16	25	34	"Choose the square with the most dots"	19	2324	RIGHT
3	4	2	2	44	35	26	"Choose the square with the most dots"	19	3072	LEFT
4	4	1	2	36	45	54	"Choose the square with the most dots"	19	5103	RIGHT
1	4	1	2	6	15	24	"Choose the square with the most dots"	19	3078	RIGHT
2	1	2	2	34	25	16	"Choose a square with about 30 dots"	19	2413	LEFT
3	4	1	1	26	35	44	"Choose the square with the fewest dots"	19	4609	LEFT
4	2	2	1	54	45	36	"Choose the square with 36 dots"	19	11529	MIDDLE
1	1	1	2	6	15	24	"Choose a square with about 20 dots"	19	9826	RIGHT
2	1	1	1	16	25	34	"Choose a square with about 20 dots"	19	6802	MIDDLE
3	4	2	1	44	35	26	"Choose the square with the fewest dots"	19	6434	RIGHT
4	2	2	2	54	45	36	"Choose the square with 54 dots"	19	1721	LEFT
1	2	2	1	24	15	6	"Choose the square with 6 dots"	19	2795	RIGHT
2	2	2	2	34	25	16	"Choose the square with 34 dots"	19	2050	LEFT
3	2	2	2	44	35	26	"Choose the square with 44 dots"	19	2228	LEFT
4	3	1	1	36	45	54	"Choose a square with few dots"	19	4263	LEFT
1	2	1	2	6	15	24	"Choose the square with 24 dots"	19	2821	RIGHT
2	4	1	1	16	25	34	"Choose the square with the fewest dots"	19	3082	LEFT
3	4	1	2	26	35	44	"Choose the square with the most dots"	19	2931	RIGHT
4	1	2	1	54	45	36	"Choose a square with about 40 dots"	19	3480	LEFT
1	3	1	1	6	15	24	"Choose a square with few dots"	19	7742	LEFT
2	2	1	1	16	25	34	"Choose the square with 16 dots"	19	7496	LEFT
3	3	1	1	26	35	44	"Choose a square with few dots"	19	2042	LEFT
4	3	2	1	54	45	36	"Choose a square with few dots"	19	3137	RIGHT
1	3	2	1	24	15	6	"Choose a square with few dots"	19	2528	RIGHT
2	4	2	1	34	25	16	"Choose the square with the fewest dots"	19	2387	RIGHT
3	1	1	1	26	35	44	"Choose a square with about 30 dots"	19	2525	RIGHT
4	2	1	1	36	45	54	"Choose the square with 36 dots"	19	5523	RIGHT
1	4	2	2	24	15	6	"Choose the square with the most dots"	19	1205	LEFT
2	3	1	2	16	25	34	"Choose a square with many dots"	19	1840	MIDDLE
3	1	2	2	44	35	26	"Choose a square with about 40 dots"	19	2380	LEFT
4	4	1	2	36	45	54	"Choose the square with the most dots"	19	1235	RIGHT
1	3	2	2	24	15	6	"Choose a square with many dots"	19	1806	LEFT
2	3	1	1	16	25	34	"Choose a square with few dots"	19	2959	LEFT
3	1	1	2	26	35	44	"Choose a square with about 40 dots"	19	3557	RIGHT
4	2	2	2	54	45	36	"Choose the square with 54 dots"	19	10676	LEFT
1	1	1	2	6	15	24	"Choose a square with about 20 dots"	19	2678	RIGHT
2	4	1	2	16	25	34	"Choose the square with the most dots"	19	1317	RIGHT
3	2	1	2	26	35	44	"Choose the square with 44 dots"	19	1056	RIGHT
4	4	2	2	54	45	36	"Choose the square with the most dots"	19	1778	LEFT
1	1	2	1	24	15	6	"Choose a square with about 10 dots"	19	1372	MIDDLE
2	3	2	2	34	25	16	"Choose a square with many dots"	19	2079	MIDDLE
3	2	2	2	44	35	26	"Choose the square with 44 dots"	19	2583	LEFT
4	4	2	1	54	45	36	"Choose the square with the fewest dots"	19	2045	RIGHT
1	2	2	1	24	15	6	"Choose the square with 6 dots"	19	1319	RIGHT
2	2	2	1	34	25	16	"Choose the square with 16 dots"	19	1500	RIGHT
3	4	1	1	26	35	44	"Choose the square with the fewest dots"	19	1317	LEFT
