Item	Condition	Order	Quantity	Left	Mid	Right	Instruction	Subject	RT	RESPONSE
1	4	2	1	24	15	6	"Choose the square with the fewest dots"	5	2108	RIGHT
2	1	1	1	16	25	34	"Choose a square with about 20 dots"	5	5236	LEFT
3	3	1	1	26	35	44	"Choose a square with few dots"	5	2883	LEFT
4	2	1	1	36	45	54	"Choose the square with 36 dots"	5	5315	LEFT
1	1	2	2	24	15	6	"Choose a square with about 20 dots"	5	5131	MIDDLE
2	1	2	1	34	25	16	"Choose a square with about 20 dots"	5	6084	RIGHT
3	2	2	1	44	35	26	"Choose the square with 26 dots"	5	5842	MIDDLE
4	4	2	1	54	45	36	"Choose the square with the fewest dots"	5	4877	RIGHT
1	3	2	1	24	15	6	"Choose a square with few dots"	5	1500	RIGHT
2	4	1	2	16	25	34	"Choose the square with the most dots"	5	1341	RIGHT
3	2	1	1	26	35	44	"Choose the square with 26 dots"	5	8999	LEFT
4	3	1	1	36	45	54	"Choose a square with few dots"	5	2141	LEFT
1	2	2	2	24	15	6	"Choose the square with 24 dots"	5	6850	LEFT
2	4	2	2	34	25	16	"Choose the square with the most dots"	5	2024	LEFT
3	4	1	2	26	35	44	"Choose the square with the most dots"	5	2054	RIGHT
4	1	1	2	36	45	54	"Choose a square with about 50 dots"	5	2043	RIGHT
1	3	1	1	6	15	24	"Choose a square with few dots"	5	1081	LEFT
2	2	1	1	16	25	34	"Choose the square with 16 dots"	5	5024	LEFT
3	2	2	2	44	35	26	"Choose the square with 44 dots"	5	7143	MIDDLE
4	2	1	2	36	45	54	"Choose the square with 54 dots"	5	6896	RIGHT
1	3	1	2	6	15	24	"Choose a square with many dots"	5	2303	RIGHT
2	2	2	2	34	25	16	"Choose the square with 34 dots"	5	2313	LEFT
3	1	1	1	26	35	44	"Choose a square with about 30 dots"	5	12676	MIDDLE
4	3	2	2	54	45	36	"Choose a square with many dots"	5	3819	LEFT
1	2	2	1	24	15	6	"Choose the square with 6 dots"	5	2742	RIGHT
2	1	2	2	34	25	16	"Choose a square with about 30 dots"	5	7513	LEFT
3	2	1	2	26	35	44	"Choose the square with 44 dots"	5	4536	RIGHT
4	3	2	1	54	45	36	"Choose a square with few dots"	5	2102	RIGHT
1	1	2	1	24	15	6	"Choose a square with about 10 dots"	5	2277	MIDDLE
2	4	1	1	16	25	34	"Choose the square with the fewest dots"	5	6175	LEFT
3	1	2	2	44	35	26	"Choose a square with about 40 dots"	5	9719	LEFT
4	2	2	2	54	45	36	"Choose the square with 54 dots"	5	2628	LEFT
1	2	1	1	6	15	24	"Choose the square with 6 dots"	5	3772	LEFT
2	3	1	1	16	25	34	"Choose a square with few dots"	5	1324	LEFT
3	1	2	1	44	35	26	"Choose a square with about 30 dots"	5	8334	LEFT
4	3	1	2	36	45	54	"Choose a square with many dots"	5	1511	RIGHT
1	2	1	2	6	15	24	"Choose the square with 24 dots"	5	10903	RIGHT
2	3	2	1	34	25	16	"Choose a square with few dots"	5	1851	RIGHT
3	4	2	2	44	35	26	"Choose the square with the most dots"	5	2771	LEFT
4	1	1	1	36	45	54	"Choose a square with about 40 dots"	5	7917	MIDDLE
1	4	1	1	6	15	24	"Choose the square with the fewest dots"	5	1143	LEFT
2	2	1	2	16	25	34	"Choose the square with 34 dots"	5	9261	RIGHT
3	1	1	2	26	35	44	"Choose a square with about 40 dots"	5	4524	RIGHT
4	1	2	2	54	45	36	"Choose a square with about 50 dots"	5	8626	MIDDLE
1	1	1	2	6	15	24	"Choose a square with about 20 dots"	5	4371	RIGHT
