"Subject" "Item" "id" "Trial" "Vagueness" "Selection" "Order" "Quantity" "Instruction" "nchar_instr" "RT" "RT_raw" "RT_log" "RTprev_log" "RTprev_raw" "rt_instr" "response_cat"
"1" "s01" "06:15:24" "s01:t001" 1 "Vague" "Comparison" "RtoL" "Small" "'Choose a square with far fewer than 20 dots'" 45 996 996 6.9037472575846 NA NA 2662 "Expected"
"2" "s01" "16:25:34" "s01:t002" 2 "Crisp" "Matching" "LtoR" "Large" "'Choose a square with 34 dots'" 30 1332 1332 7.19443685110033 6.9037472575846 996 967 "Expected"
"3" "s01" "26:35:44" "s01:t003" 3 "Vague" "Comparison" "LtoR" "Small" "'Choose a square with far fewer than 40 dots'" 45 1083 1083 6.98749024700099 7.19443685110033 1332 868 "Expected"
"4" "s01" "36:45:54" "s01:t004" 4 "Vague" "Comparison" "LtoR" "Large" "'Choose a square with far more than 40 dots'" 44 1234 1234 7.11801620446533 6.98749024700099 1083 932 "Expected"
"5" "s01" "06:15:24" "s01:t005" 5 "Crisp" "Matching" "RtoL" "Large" "'Choose a square with 24 dots'" 30 1369 1369 7.22183582528845 7.11801620446533 1234 564 "Expected"
"6" "s01" "16:25:34" "s01:t006" 6 "Crisp" "Comparison" "LtoR" "Large" "'Choose a square with more than 20 dots'" 40 971 971 6.87832646829133 7.22183582528845 1369 734 "Expected"
"7" "s01" "26:35:44" "s01:t007" 7 "Vague" "Comparison" "RtoL" "Large" "'Choose a square with far more than 30 dots'" 44 966 966 6.87316383421252 6.87832646829133 971 1319 "Expected"
"8" "s01" "36:45:54" "s01:t008" 8 "Crisp" "Matching" "RtoL" "Small" "'Choose a square with 36 dots'" 30 1656 1656 7.4121603349452 6.87316383421252 966 726 "Near"
"9" "s01" "06:15:24" "s01:t009" 9 "Vague" "Comparison" "LtoR" "Large" "'Choose a square with far more than 10 dots'" 44 1017 1017 6.92461239604856 7.4121603349452 1656 723 "Expected"
"10" "s01" "16:25:34" "s01:t010" 10 "Vague" "Comparison" "RtoL" "Small" "'Choose a square with far fewer than 30 dots'" 45 1033 1033 6.94022246911964 6.92461239604856 1017 907 "Expected"
"11" "s01" "26:35:44" "s01:t011" 11 "Crisp" "Matching" "LtoR" "Small" "'Choose a square with 26 dots'" 30 2329 2329 7.75319426988434 6.94022246911964 1033 731 "Far"
"12" "s01" "36:45:54" "s01:t012" 12 "Crisp" "Comparison" "LtoR" "Large" "'Choose a square with more than 40 dots'" 40 990 990 6.89770494312864 7.75319426988434 2329 781 "Expected"
"13" "s01" "06:15:24" "s01:t013" 13 "Crisp" "Comparison" "LtoR" "Small" "'Choose a square with fewer than 20 dots'" 41 945 945 6.85118492749374 6.89770494312864 990 907 "Expected"
"14" "s01" "16:25:34" "s01:t014" 14 "Crisp" "Comparison" "RtoL" "Large" "'Choose a square with more than 20 dots'" 40 1022 1022 6.92951677076365 6.85118492749374 945 863 "Expected"
"15" "s01" "26:35:44" "s01:t015" 15 "Vague" "Matching" "RtoL" "Small" "'Choose a square with about 30 dots'" 36 1709 1709 7.44366368311559 6.92951677076365 1022 943 "Far"
"16" "s01" "36:45:54" "s01:t016" 16 "Crisp" "Matching" "LtoR" "Small" "'Choose a square with 36 dots'" 30 1151 1151 7.04838640872188 7.44366368311559 1709 590 "Far"
"17" "s01" "06:15:24" "s01:t017" 17 "Vague" "Matching" "RtoL" "Small" "'Choose a square with about 10 dots'" 36 3558 3558 8.17695386822578 7.04838640872188 1151 622 "Expected"
