Sub	Trl	Itm	Cnd	Ord	Qty	Prm	Lft	Mid	Rgt	key	rt	Ins
31	101	1	3	2	1	20	24	15	6	R	985	Choose a square with far fewer dots than the target
31	102	2	1	1	2	30	16	25	34	M	1513	Choose a square with about the same number of dots as the target
31	103	3	3	1	2	30	26	35	44	R	1288	Choose a square with far more dots than the target
31	104	4	2	1	1	36	36	45	54	L	1727	Choose a square with the same number of dots as the target
31	105	1	2	1	2	24	6	15	24	M	1704	Choose a square with the same number of dots as the target
31	106	2	4	1	1	30	16	25	34	L	1479	Choose a square with fewer dots than the target
31	107	3	3	1	1	40	26	35	44	L	992	Choose a square with far fewer dots than the target
31	108	4	3	2	1	50	54	45	36	R	1042	Choose a square with far fewer dots than the target
31	109	1	1	1	2	20	6	15	24	M	1576	Choose a square with about the same number of dots as the target
31	110	2	1	2	1	20	34	25	16	M	1642	Choose a square with about the same number of dots as the target
31	111	3	2	2	2	44	44	35	26	M	1026	Choose a square with the same number of dots as the target
31	112	4	4	1	1	50	36	45	54	L	1879	Choose a square with fewer dots than the target
31	113	1	3	1	2	10	6	15	24	R	921	Choose a square with far more dots than the target
31	114	2	4	1	2	20	16	25	34	R	680	Choose a square with more dots than the target
31	115	3	1	2	1	30	44	35	26	R	1074	Choose a square with about the same number of dots as the target
31	116	4	1	2	2	50	54	45	36	M	1011	Choose a square with about the same number of dots as the target
31	117	1	2	2	2	24	24	15	6	M	783	Choose a square with the same number of dots as the target
31	118	2	1	1	1	20	16	25	34	L	1180	Choose a square with about the same number of dots as the target
31	119	3	4	2	2	30	44	35	26	L	758	Choose a square with more dots than the target
31	120	4	1	1	1	40	36	45	54	L	850	Choose a square with about the same number of dots as the target
31	121	1	2	2	1	6	24	15	6	R	910	Choose a square with the same number of dots as the target
31	122	2	2	2	1	16	34	25	16	R	1184	Choose a square with the same number of dots as the target
31	123	3	4	2	1	40	44	35	26	R	725	Choose a square with fewer dots than the target
31	124	4	1	1	2	50	36	45	54	L	1214	Choose a square with about the same number of dots as the target
31	125	1	3	1	1	20	6	15	24	L	567	Choose a square with far fewer dots than the target
31	126	2	4	2	2	20	34	25	16	R	1323	Choose a square with more dots than the target
31	127	3	1	1	2	40	26	35	44	L	1296	Choose a square with about the same number of dots as the target
31	128	4	1	2	1	40	54	45	36	R	1591	Choose a square with about the same number of dots as the target
31	129	1	1	2	1	10	24	15	6	M	1669	Choose a square with about the same number of dots as the target
31	130	2	3	2	1	30	34	25	16	R	683	Choose a square with far fewer dots than the target
31	131	3	4	1	1	40	26	35	44	L	959	Choose a square with fewer dots than the target
31	132	4	2	2	1	36	54	45	36	R	827	Choose a square with the same number of dots as the target
31	133	1	1	2	2	20	24	15	6	M	934	Choose a square with about the same number of dots as the target
31	134	2	3	1	1	30	16	25	34	L	985	Choose a square with far fewer dots than the target
31	135	3	3	2	2	30	44	35	26	L	721	Choose a square with far more dots than the target
31	136	4	4	1	2	40	36	45	54	R	851	Choose a square with more dots than the target
31	137	1	4	2	2	10	24	15	6	L	811	Choose a square with more dots than the target
31	138	2	3	2	2	20	34	25	16	L	632	Choose a square with far more dots than the target
31	139	3	2	1	1	26	26	35	44	L	1474	Choose a square with the same number of dots as the target
31	140	4	3	1	1	50	36	45	54	L	905	Choose a square with far fewer dots than the target
31	141	1	4	2	1	20	24	15	6	R	466	Choose a square with fewer dots than the target
31	142	2	3	1	2	20	16	25	34	L	570	Choose a square with far more dots than the target
31	143	3	4	1	2	30	26	35	44	R	1316	Choose a square with more dots than the target
31	144	4	4	2	2	40	54	45	36	L	634	Choose a square with more dots than the target
31	145	1	3	2	2	10	24	15	6	L	494	Choose a square with far more dots than the target
31	146	2	1	2	2	30	34	25	16	M	849	Choose a square with about the same number of dots as the target
31	147	3	1	1	1	30	26	35	44	L	1077	Choose a square with about the same number of dots as the target
31	148	4	4	2	1	50	54	45	36	R	725	Choose a square with fewer dots than the target
31	149	1	4	1	1	20	6	15	24	L	539	Choose a square with fewer dots than the target
31	150	2	2	1	2	34	16	25	34	M	1933	Choose a square with the same number of dots as the target
31	151	3	2	2	1	26	44	35	26	R	887	Choose a square with the same number of dots as the target
31	152	4	3	2	2	40	54	45	36	R	1148	Choose a square with far more dots than the target
31	153	1	4	1	2	10	6	15	24	R	788	Choose a square with more dots than the target
31	154	2	4	2	1	30	34	25	16	R	1394	Choose a square with fewer dots than the target
31	155	3	2	1	2	44	26	35	44	M	1312	Choose a square with the same number of dots as the target
31	156	4	2	1	2	54	36	45	54	M	1374	Choose a square with the same number of dots as the target
