observation	subject	trial	gap_size	target_size	correct_side	dots_left	dots_right	dotpair_id	vagueness	Text	is_error	rt
1	1	1	Big	Big	Right	5	9	5:9	Vague	many	0	1406
2	1	2	Big	Big	Right	2	6	2:6	Vague	many	0	1046
3	1	3	Big	Small	Left	2	6	2:6	Crisp	two	0	1323
4	1	4	Big	Big	Left	8	4	8:4	Vague	many	0	981
5	1	5	Big	Big	Left	9	5	5:9	Vague	many	0	1411
6	1	6	Big	Small	Right	6	2	2:6	Vague	few	0	994
7	1	7	Big	Small	Right	8	4	8:4	Crisp	four	0	1151
8	1	8	Big	Big	Left	7	3	7:3	Crisp	seven	0	1831
9	1	9	Small	Small	Left	3	5	3:5	Crisp	three	0	1135
10	1	10	Small	Small	Left	7	9	7:9	Crisp	seven	0	2088
11	1	11	Small	Big	Left	5	3	3:5	Vague	many	0	993
12	1	12	Big	Small	Right	9	5	5:9	Crisp	five	0	1444
13	1	13	Big	Small	Right	6	2	2:6	Crisp	two	0	1209
14	1	14	Big	Big	Left	8	4	8:4	Crisp	eight	0	1872
15	1	15	Big	Big	Left	6	2	2:6	Crisp	six	0	1166
16	1	16	Small	Small	Left	2	4	2:4	Crisp	two	0	910
17	1	17	Big	Small	Left	4	8	8:4	Crisp	four	0	1272
18	1	18	Big	Small	Right	9	5	5:9	Vague	few	0	1300
19	1	19	Small	Small	Right	8	6	6:8	Vague	few	0	1671
20	1	20	Small	Small	Left	7	9	7:9	Vague	few	0	1550
21	1	21	Small	Big	Right	2	4	2:4	Crisp	four	0	1617
22	1	22	Small	Small	Right	5	3	3:5	Crisp	three	0	1258
23	1	23	Small	Small	Right	4	2	2:4	Vague	few	0	1207
24	1	24	Small	Small	Right	9	7	7:9	Vague	few	0	2904
25	1	25	Small	Big	Left	8	6	6:8	Crisp	eight	0	2402
26	1	26	Small	Big	Left	9	7	7:9	Crisp	nine	0	2236
27	1	27	Big	Big	Left	7	3	7:3	Vague	many	0	1039
28	1	28	Big	Small	Right	7	3	7:3	Crisp	three	0	908
29	1	29	Big	Big	Right	3	7	7:3	Crisp	seven	0	1286
30	1	30	Big	Big	Right	2	6	2:6	Crisp	six	0	1618
31	1	31	Small	Big	Left	9	7	7:9	Vague	many	0	2050
32	1	32	Small	Big	Right	3	5	3:5	Crisp	five	0	1396
33	1	33	Small	Big	Right	7	9	7:9	Vague	many	0	2276
34	1	34	Big	Small	Left	4	8	8:4	Vague	few	0	1188
35	1	35	Big	Big	Right	3	7	7:3	Vague	many	0	1012
36	1	36	Small	Big	Right	6	8	6:8	Crisp	eight	0	2794
37	1	37	Small	Small	Right	8	6	6:8	Crisp	six	0	2142
38	1	38	Big	Big	Left	6	2	2:6	Vague	many	0	931
39	1	39	Small	Big	Left	8	6	6:8	Vague	many	0	1524
40	1	40	Big	Small	Left	5	9	5:9	Crisp	five	0	1207
41	1	41	Small	Small	Left	6	8	6:8	Vague	few	0	1439
42	1	42	Big	Big	Right	4	8	8:4	Vague	many	0	1150
43	1	43	Big	Big	Left	9	5	5:9	Crisp	nine	0	2935
44	1	44	Big	Small	Left	3	7	7:3	Vague	few	0	944
45	1	45	Small	Big	Right	2	4	2:4	Vague	many	0	1160
46	1	46	Big	Small	Right	8	4	8:4	Vague	few	0	1211
47	1	47	Small	Small	Right	5	3	3:5	Vague	few	0	1067
48	1	48	Small	Small	Right	9	7	7:9	Crisp	seven	0	1663
49	1	49	Small	Big	Right	3	5	3:5	Vague	many	0	1173
50	1	50	Small	Small	Left	2	4	2:4	Vague	few	0	1461
51	1	51	Small	Small	Left	3	5	3:5	Vague	few	0	1082
52	1	52	Small	Big	Left	4	2	2:4	Vague	many	0	1120
53	1	53	Small	Big	Left	4	2	2:4	Crisp	four	0	1355
54	1	54	Big	Small	Left	2	6	2:6	Vague	few	0	1062
55	1	55	Big	Big	Right	5	9	5:9	Crisp	nine	0	1314
56	1	56	Small	Small	Right	4	2	2:4	Crisp	two	0	1133
57	1	57	Big	Small	Left	3	7	7:3	Crisp	three	0	1285
58	1	58	Big	Small	Right	7	3	7:3	Vague	few	0	1132
59	1	59	Small	Big	Right	6	8	6:8	Vague	many	0	2662
60	1	60	Small	Big	Right	7	9	7:9	Crisp	nine	0	2083
61	1	61	Big	Small	Left	5	9	5:9	Vague	few	0	1068
62	1	62	Small	Small	Left	6	8	6:8	Crisp	six	0	2521
63	1	63	Small	Big	Left	5	3	3:5	Crisp	five	0	1129
64	1	64	Big	Big	Right	4	8	8:4	Crisp	eight	0	1068
65	2	1	Small	Small	Left	6	8	6:8	Vague	few	0	5227
66	2	2	Small	Small	Right	4	2	2:4	Crisp	two	0	1369
67	2	3	Big	Small	Right	7	3	7:3	Crisp	three	0	1277
68	2	4	Big	Small	Right	9	5	5:9	Crisp	five	0	2167
69	2	5	Small	Big	Right	6	8	6:8	Crisp	eight	0	3094
70	2	6	Small	Big	Left	8	6	6:8	Crisp	eight	0	2228
71	2	7	Big	Small	Left	4	8	8:4	Vague	few	0	2350
72	2	8	Big	Small	Left	3	7	7:3	Vague	few	0	1756
73	2	9	Big	Big	Left	9	5	5:9	Crisp	nine	0	3536
74	2	10	Small	Big	Left	9	7	7:9	Vague	many	0	2556
75	2	11	Big	Big	Right	2	6	2:6	Crisp	six	0	1299
76	2	12	Small	Big	Right	7	9	7:9	Vague	many	0	1833
77	2	13	Small	Small	Right	9	7	7:9	Vague	few	0	1891
78	2	14	Big	Small	Left	2	6	2:6	Vague	few	0	2277
79	2	15	Small	Small	Right	9	7	7:9	Crisp	seven	0	3309
80	2	16	Small	Small	Right	4	2	2:4	Vague	few	0	1978
81	2	17	Small	Small	Right	5	3	3:5	Crisp	three	0	1574
82	2	18	Small	Small	Left	2	4	2:4	Vague	few	0	1619
83	2	19	Small	Big	Right	2	4	2:4	Vague	many	0	1770
84	2	20	Big	Small	Right	8	4	8:4	Vague	few	0	1686
85	2	21	Small	Big	Left	5	3	3:5	Vague	many	0	1390
86	2	22	Big	Small	Left	5	9	5:9	Vague	few	0	1207
87	2	23	Small	Small	Right	8	6	6:8	Crisp	six	0	2285
88	2	24	Small	Big	Right	3	5	3:5	Crisp	five	0	1487
89	2	25	Small	Small	Left	7	9	7:9	Vague	few	0	1398
90	2	26	Big	Big	Left	7	3	7:3	Vague	many	0	1222
91	2	27	Small	Small	Right	8	6	6:8	Vague	few	0	1846
92	2	28	Big	Small	Right	9	5	5:9	Vague	few	0	1735
93	2	29	Small	Big	Right	7	9	7:9	Crisp	nine	0	4331
94	2	30	Small	Big	Left	8	6	6:8	Vague	many	0	2250
95	2	31	Big	Big	Right	3	7	7:3	Vague	many	0	1156
96	2	32	Small	Small	Left	2	4	2:4	Crisp	two	0	1126
97	2	33	Big	Big	Right	5	9	5:9	Vague	many	0	1498
98	2	34	Big	Small	Left	2	6	2:6	Crisp	two	0	966
99	2	35	Big	Big	Right	5	9	5:9	Crisp	nine	0	2144
100	2	36	Big	Big	Left	7	3	7:3	Crisp	seven	0	1605
101	2	37	Big	Small	Right	8	4	8:4	Crisp	four	0	1632
102	2	38	Big	Big	Right	2	6	2:6	Vague	many	0	1161
103	2	39	Big	Big	Right	4	8	8:4	Crisp	eight	0	1244
104	2	40	Small	Small	Left	3	5	3:5	Vague	few	0	1355
105	2	41	Big	Big	Left	6	2	2:6	Crisp	six	0	1141
106	2	42	Big	Small	Left	5	9	5:9	Crisp	five	0	1871
107	2	43	Small	Big	Left	5	3	3:5	Crisp	five	0	1295
108	2	44	Big	Small	Left	3	7	7:3	Crisp	three	0	932
109	2	45	Big	Big	Right	4	8	8:4	Vague	many	0	1190
110	2	46	Big	Small	Right	7	3	7:3	Vague	few	0	1457
