"obs" "trl" "sub" "itm" "tsk" "vgn" "qty" "rt" "bd"
"1" 1 1 "s01" "6:15:24" "Numerical" "Crisp" "Small" 1517 0
"2" 2 2 "s01" "16:25:34" "Numerical" "Vague" "Big" 1920 1
"3" 3 3 "s01" "26:35:44" "Verbal" "Crisp" "Small" 2346 0
"4" 4 4 "s01" "36:45:54" "Numerical" "Vague" "Big" 1773 1
"5" 5 5 "s01" "6:15:24" "Numerical" "Vague" "Small" 2556 0
"6" 6 6 "s01" "16:25:34" "Verbal" "Vague" "Big" 2043 0
"7" 7 7 "s01" "26:35:44" "Verbal" "Vague" "Small" 2384 0
"8" 8 8 "s01" "36:45:54" "Verbal" "Crisp" "Small" 3078 0
"9" 9 9 "s01" "6:15:24" "Verbal" "Crisp" "Big" 1760 0
"10" 10 10 "s01" "16:25:34" "Numerical" "Crisp" "Big" 2218 1
"11" 11 11 "s01" "26:35:44" "Numerical" "Vague" "Small" 7986 0
"12" 12 12 "s01" "36:45:54" "Verbal" "Vague" "Big" 1262 0
"13" 13 13 "s01" "6:15:24" "Numerical" "Vague" "Big" 1390 1
"14" 14 14 "s01" "16:25:34" "Verbal" "Crisp" "Small" 2067 0
"15" 15 15 "s01" "26:35:44" "Numerical" "Crisp" "Big" 3582 0
"16" 16 16 "s01" "36:45:54" "Numerical" "Crisp" "Big" 1982 1
"17" 17 17 "s01" "6:15:24" "Verbal" "Vague" "Small" 1036 0
"18" 18 18 "s01" "16:25:34" "Verbal" "Vague" "Small" 1357 0
"19" 19 19 "s01" "26:35:44" "Numerical" "Vague" "Small" 2121 1
"20" 20 20 "s01" "36:45:54" "Numerical" "Vague" "Small" 2104 1
"21" 21 21 "s01" "6:15:24" "Verbal" "Crisp" "Small" 782 0
"22" 22 22 "s01" "16:25:34" "Numerical" "Vague" "Small" 1743 1
"23" 23 23 "s01" "26:35:44" "Verbal" "Crisp" "Big" 997 0
"24" 24 24 "s01" "36:45:54" "Verbal" "Vague" "Small" 2274 0
"25" 25 25 "s01" "6:15:24" "Numerical" "Crisp" "Small" 830 0
"26" 26 26 "s01" "16:25:34" "Numerical" "Vague" "Small" 1799 1
"27" 27 27 "s01" "26:35:44" "Verbal" "Crisp" "Big" 2057 0
