Item	Condition	Order	Quantity	Left	Mid	Right	Instruction	Subject	RT	RESPONSE
1	2	2	1	24	15	6	"Choose the square with 6 dots"	1	1517	RIGHT
2	1	1	2	16	25	34	"Choose a square with about 30 dots"	1	1920	MIDDLE
3	4	1	1	26	35	44	"Choose the square with the fewest dots"	1	2346	LEFT
4	1	2	2	54	45	36	"Choose a square with about 50 dots"	1	1773	MIDDLE
1	1	2	1	24	15	6	"Choose a square with about 10 dots"	1	2556	RIGHT
2	3	1	2	16	25	34	"Choose a square with many dots"	1	2043	RIGHT
3	3	2	1	44	35	26	"Choose a square with few dots"	1	2384	RIGHT
4	4	2	1	54	45	36	"Choose the square with the fewest dots"	1	3078	RIGHT
1	4	1	2	6	15	24	"Choose the square with the most dots"	1	1760	RIGHT
2	2	2	2	34	25	16	"Choose the square with 34 dots"	1	2218	MIDDLE
3	1	2	1	44	35	26	"Choose a square with about 30 dots"	1	7986	RIGHT
4	3	2	2	54	45	36	"Choose a square with many dots"	1	1262	LEFT
1	1	1	2	6	15	24	"Choose a square with about 20 dots"	1	1390	MIDDLE
2	4	2	1	34	25	16	"Choose the square with the fewest dots"	1	2067	RIGHT
3	2	1	2	26	35	44	"Choose the square with 44 dots"	1	3582	RIGHT
4	2	1	2	36	45	54	"Choose the square with 54 dots"	1	1982	MIDDLE
1	3	1	1	6	15	24	"Choose a square with few dots"	1	1036	LEFT
2	3	2	1	34	25	16	"Choose a square with few dots"	1	1357	RIGHT
3	1	1	1	26	35	44	"Choose a square with about 30 dots"	1	2121	MIDDLE
4	1	2	1	54	45	36	"Choose a square with about 40 dots"	1	2104	MIDDLE
1	4	2	1	24	15	6	"Choose the square with the fewest dots"	1	782	RIGHT
2	1	1	1	16	25	34	"Choose a square with about 20 dots"	1	1743	MIDDLE
3	4	1	2	26	35	44	"Choose the square with the most dots"	1	997	RIGHT
4	3	1	1	36	45	54	"Choose a square with few dots"	1	2274	LEFT
1	2	1	1	6	15	24	"Choose the square with 6 dots"	1	830	LEFT
2	1	2	1	34	25	16	"Choose a square with about 20 dots"	1	1799	MIDDLE
