"Subject" "Trial" "Item" "c_Itm" "Vagueness" "c_Vag" "Selection" "c_Sel" "Instruction" "Order" "Quantity" "RT" "RT_log" "switchResponse"
"1" "s01" 1 "06:15:24" -0.75 "Vague" 0.5 "Comparison" -0.5 "'Choose a square with far fewer than 20 dots'" "RtoL" "Small" 996 6.9037472575846 "Expected"
"2" "s01" 2 "16:25:34" -0.25 "Crisp" -0.5 "Matching" 0.5 "'Choose a square with 34 dots'" "LtoR" "Large" 1332 7.19443685110033 "Expected"
"3" "s01" 3 "26:35:44" 0.25 "Vague" 0.5 "Comparison" -0.5 "'Choose a square with far fewer than 40 dots'" "LtoR" "Small" 1083 6.98749024700099 "Expected"
"4" "s01" 4 "36:45:54" 0.75 "Vague" 0.5 "Comparison" -0.5 "'Choose a square with far more than 40 dots'" "LtoR" "Large" 1234 7.11801620446533 "Expected"
"5" "s01" 5 "06:15:24" -0.75 "Crisp" -0.5 "Matching" 0.5 "'Choose a square with 24 dots'" "RtoL" "Large" 1369 7.22183582528845 "Expected"
"6" "s01" 6 "16:25:34" -0.25 "Crisp" -0.5 "Comparison" -0.5 "'Choose a square with more than 20 dots'" "LtoR" "Large" 971 6.87832646829133 "Expected"
"7" "s01" 7 "26:35:44" 0.25 "Vague" 0.5 "Comparison" -0.5 "'Choose a square with far more than 30 dots'" "RtoL" "Large" 966 6.87316383421252 "Expected"
"8" "s01" 8 "36:45:54" 0.75 "Crisp" -0.5 "Matching" 0.5 "'Choose a square with 36 dots'" "RtoL" "Small" 1656 7.4121603349452 "Near"
"9" "s01" 9 "06:15:24" -0.75 "Vague" 0.5 "Comparison" -0.5 "'Choose a square with far more than 10 dots'" "LtoR" "Large" 1017 6.92461239604856 "Expected"
"10" "s01" 10 "16:25:34" -0.25 "Vague" 0.5 "Comparison" -0.5 "'Choose a square with far fewer than 30 dots'" "RtoL" "Small" 1033 6.94022246911964 "Expected"
"11" "s01" 11 "26:35:44" 0.25 "Crisp" -0.5 "Matching" 0.5 "'Choose a square with 26 dots'" "LtoR" "Small" 2329 7.75319426988434 "Far"
"12" "s01" 12 "36:45:54" 0.75 "Crisp" -0.5 "Comparison" -0.5 "'Choose a square with more than 40 dots'" "LtoR" "Large" 990 6.89770494312864 "Expected"
"13" "s01" 13 "06:15:24" -0.75 "Crisp" -0.5 "Comparison" -0.5 "'Choose a square with fewer than 20 dots'" "LtoR" "Small" 945 6.85118492749374 "Expected"
"14" "s01" 14 "16:25:34" -0.25 "Crisp" -0.5 "Comparison" -0.5 "'Choose a square with more than 20 dots'" "RtoL" "Large" 1022 6.92951677076365 "Expected"
"15" "s01" 15 "26:35:44" 0.25 "Vague" 0.5 "Matching" 0.5 "'Choose a square with about 30 dots'" "RtoL" "Small" 1709 7.44366368311559 "Far"
"16" "s01" 16 "36:45:54" 0.75 "Crisp" -0.5 "Matching" 0.5 "'Choose a square with 36 dots'" "LtoR" "Small" 1151 7.04838640872188 "Far"
"17" "s01" 17 "06:15:24" -0.75 "Vague" 0.5 "Matching" 0.5 "'Choose a square with about 10 dots'" "RtoL" "Small" 3558 8.17695386822578 "Expected"
"18" "s01" 18 "16:25:34" -0.25 "Vague" 0.5 "Comparison" -0.5 "'Choose a square with far fewer than 30 dots'" "LtoR" "Small" 927 6.83195356556585 "Expected"
"19" "s01" 19 "26:35:44" 0.25 "Crisp" -0.5 "Comparison" -0.5 "'Choose a square with more than 30 dots'" "RtoL" "Large" 914 6.81783057145415 "Expected"
"20" "s01" 20 "36:45:54" 0.75 "Vague" 0.5 "Comparison" -0.5 "'Choose a square with far more than 40 dots'" "RtoL" "Large" 1090 6.99393297522319 "Expected"
"21" "s01" 21 "06:15:24" -0.75 "Crisp" -0.5 "Matching" 0.5 "'Choose a square with 24 dots'" "LtoR" "Large" 1177 7.07072410726028 "Expected"
"22" "s01" 22 "16:25:34" -0.25 "Crisp" -0.5 "Comparison" -0.5 "'Choose a square with fewer than 30 dots'" "LtoR" "Small" 865 6.76272950693188 "Expected"
"23" "s01" 23 "26:35:44" 0.25 "Vague" 0.5 "Comparison" -0.5 "'Choose a square with far more than 30 dots'" "LtoR" "Large" 894 6.79570577517351 "Expected"
"24" "s01" 24 "36:45:54" 0.75 "Crisp" -0.5 "Comparison" -0.5 "'Choose a square with fewer than 50 dots'" "RtoL" "Small" 1041 6.94793706861497 "Expected"
"25" "s01" 25 "06:15:24" -0.75 "Vague" 0.5 "Comparison" -0.5 "'Choose a square with far more than 10 dots'" "RtoL" "Large" 856 6.75227037614174 "Expected"
"26" "s01" 26 "16:25:34" -0.25 "Vague" 0.5 "Matching" 0.5 "'Choose a square with about 30 dots'" "RtoL" "Large" 972 6.87935580446044 "Expected"
"27" "s01" 27 "26:35:44" 0.25 "Crisp" -0.5 "Comparison" -0.5 "'Choose a square with more than 30 dots'" "LtoR" "Large" 908 6.81124437860129 "Expected"
"28" "s01" 28 "36:45:54" 0.75 "Crisp" -0.5 "Matching" 0.5 "'Choose a square with 54 dots'" "RtoL" "Large" 1117 7.0184017990692 "Expected"
"29" "s01" 29 "06:15:24" -0.75 "Crisp" -0.5 "Comparison" -0.5 "'Choose a square with fewer than 20 dots'" "RtoL" "Small" 794 6.67708346124714 "Expected"
"30" "s01" 30 "16:25:34" -0.25 "Crisp" -0.5 "Matching" 0.5 "'Choose a square with 34 dots'" "RtoL" "Large" 882 6.78219205600679 "Expected"
"31" "s01" 31 "26:35:44" 0.25 "Crisp" -0.5 "Matching" 0.5 "'Choose a square with 26 dots'" "RtoL" "Small" 1172 7.06646697013696 "Far"
"32" "s01" 32 "36:45:54" 0.75 "Vague" 0.5 "Matching" 0.5 "'Choose a square with about 50 dots'" "LtoR" "Large" 817 6.70563909486 "Expected"
"33" "s01" 33 "06:15:24" -0.75 "Vague" 0.5 "Matching" 0.5 "'Choose a square with about 20 dots'" "RtoL" "Large" 760 6.63331843328038 "Expected"
"34" "s01" 34 "16:25:34" -0.25 "Crisp" -0.5 "Matching" 0.5 "'Choose a square with 16 dots'" "RtoL" "Small" 1103 7.0057890192535 "Expected"
"35" "s01" 35 "26:35:44" 0.25 "Vague" 0.5 "Matching" 0.5 "'Choose a square with about 40 dots'" "LtoR" "Large" 1041 6.94793706861497 "Expected"
"36" "s01" 36 "36:45:54" 0.75 "Vague" 0.5 "Comparison" -0.5 "'Choose a square with far fewer than 50 dots'" "RtoL" "Small" 1510 7.31986492980897 "Expected"
"37" "s01" 37 "06:15:24" -0.75 "Vague" 0.5 "Comparison" -0.5 "'Choose a square with far fewer than 20 dots'" "LtoR" "Small" 612 6.41673228251233 "Expected"
"38" "s01" 38 "16:25:34" -0.25 "Crisp" -0.5 "Matching" 0.5 "'Choose a square with 16 dots'" "LtoR" "Small" 734 6.59850902861452 "Expected"
"39" "s01" 39 "26:35:44" 0.25 "Crisp" -0.5 "Comparison" -0.5 "'Choose a square with fewer than 40 dots'" "RtoL" "Small" 1030 6.93731408122368 "Expected"
"40" "s01" 40 "36:45:54" 0.75 "Crisp" -0.5 "Matching" 0.5 "'Choose a square with 54 dots'" "LtoR" "Large" 747 6.61606518513282 "Expected"
"41" "s01" 41 "06:15:24" -0.75 "Crisp" -0.5 "Matching" 0.5 "'Choose a square with 6 dots'" "RtoL" "Small" 1262 7.14045304310116 "Expected"
"42" "s01" 42 "16:25:34" -0.25 "Vague" 0.5 "Comparison" -0.5 "'Choose a square with far more than 20 dots'" "RtoL" "Large" 779 6.65801104587075 "Expected"
"43" "s01" 43 "26:35:44" 0.25 "Vague" 0.5 "Matching" 0.5 "'Choose a square with about 40 dots'" "RtoL" "Large" 712 6.56807791141198 "Expected"
"44" "s01" 44 "36:45:54" 0.75 "Vague" 0.5 "Matching" 0.5 "'Choose a square with about 50 dots'" "RtoL" "Large" 930 6.8351845861473 "Expected"
"45" "s01" 45 "06:15:24" -0.75 "Crisp" -0.5 "Comparison" -0.5 "'Choose a square with more than 10 dots'" "LtoR" "Large" 1111 7.01301578963963 "Expected"
"46" "s01" 46 "16:25:34" -0.25 "Vague" 0.5 "Comparison" -0.5 "'Choose a square with far more than 20 dots'" "LtoR" "Large" 643 6.46614472423762 "Expected"
"47" "s01" 47 "26:35:44" 0.25 "Crisp" -0.5 "Comparison" -0.5 "'Choose a square with fewer than 40 dots'" "LtoR" "Small" 665 6.49978704065585 "Expected"
"48" "s01" 48 "36:45:54" 0.75 "Vague" 0.5 "Comparison" -0.5 "'Choose a square with far fewer than 50 dots'" "LtoR" "Small" 737 6.60258789218934 "Expected"
"49" "s01" 49 "06:15:24" -0.75 "Vague" 0.5 "Matching" 0.5 "'Choose a square with about 10 dots'" "LtoR" "Small" 695 6.54391184556479 "Expected"
"50" "s01" 50 "16:25:34" -0.25 "Crisp" -0.5 "Comparison" -0.5 "'Choose a square with fewer than 30 dots'" "RtoL" "Small" 814 6.70196036600254 "Expected"
"51" "s01" 51 "26:35:44" 0.25 "Vague" 0.5 "Matching" 0.5 "'Choose a square with about 30 dots'" "LtoR" "Small" 1395 7.24064969425547 "Far"
"52" "s01" 52 "36:45:54" 0.75 "Vague" 0.5 "Matching" 0.5 "'Choose a square with about 40 dots'" "RtoL" "Small" 683 6.52649485957079 "Far"
"53" "s01" 53 "06:15:24" -0.75 "Crisp" -0.5 "Matching" 0.5 "'Choose a square with 6 dots'" "LtoR" "Small" 710 6.56526497003536 "Expected"
"54" "s01" 54 "16:25:34" -0.25 "Vague" 0.5 "Matching" 0.5 "'Choose a square with about 20 dots'" "RtoL" "Small" 1994 7.59789795052178 "Near"
"55" "s01" 55 "26:35:44" 0.25 "Vague" 0.5 "Comparison" -0.5 "'Choose a square with far fewer than 40 dots'" "RtoL" "Small" 887 6.78784498230958 "Expected"
"56" "s01" 56 "36:45:54" 0.75 "Crisp" -0.5 "Comparison" -0.5 "'Choose a square with fewer than 50 dots'" "LtoR" "Small" 1080 6.98471632011827 "Expected"
"57" "s01" 57 "06:15:24" -0.75 "Vague" 0.5 "Matching" 0.5 "'Choose a square with about 20 dots'" "LtoR" "Large" 1309 7.1770187659099 "Expected"
"58" "s01" 58 "16:25:34" -0.25 "Vague" 0.5 "Matching" 0.5 "'Choose a square with about 20 dots'" "LtoR" "Small" 1454 7.28207365809346 "Near"
"59" "s01" 59 "26:35:44" 0.25 "Crisp" -0.5 "Matching" 0.5 "'Choose a square with 44 dots'" "LtoR" "Large" 1252 7.13249755166004 "Expected"
"60" "s01" 60 "36:45:54" 0.75 "Vague" 0.5 "Matching" 0.5 "'Choose a square with about 40 dots'" "LtoR" "Small" 837 6.72982407048948 "Far"
