Item	Condition	Order	Quantity	Left	Mid	Right	Instruction	Subject	Instruction_RT	RESPONSE	RT
1	3	2	1	24	15	6	'Choose a square with far fewer than 20 dots'	1	2662	RIGHT	996
2	2	1	2	16	25	34	'Choose a square with 34 dots'	1	967	RIGHT	1332
3	3	1	1	26	35	44	'Choose a square with far fewer than 40 dots'	1	868	LEFT	1083
4	3	1	2	36	45	54	'Choose a square with far more than 40 dots'	1	932	RIGHT	1234
1	2	2	2	24	15	6	'Choose a square with 24 dots'	1	564	LEFT	1369
2	4	1	2	16	25	34	'Choose a square with more than 20 dots'	1	734	RIGHT	971
3	3	2	2	44	35	26	'Choose a square with far more than 30 dots'	1	1319	LEFT	966
4	2	2	1	54	45	36	'Choose a square with 36 dots'	1	726	MIDDLE	1656
1	3	1	2	6	15	24	'Choose a square with far more than 10 dots'	1	723	RIGHT	1017
2	3	2	1	34	25	16	'Choose a square with far fewer than 30 dots'	1	907	RIGHT	1033
3	2	1	1	26	35	44	'Choose a square with 26 dots'	1	731	RIGHT	2329
4	4	1	2	36	45	54	'Choose a square with more than 40 dots'	1	781	RIGHT	990
1	4	1	1	6	15	24	'Choose a square with fewer than 20 dots'	1	907	LEFT	945
2	4	2	2	34	25	16	'Choose a square with more than 20 dots'	1	863	LEFT	1022
3	1	2	1	44	35	26	'Choose a square with about 30 dots'	1	943	LEFT	1709
4	2	1	1	36	45	54	'Choose a square with 36 dots'	1	590	RIGHT	1151
1	1	2	1	24	15	6	'Choose a square with about 10 dots'	1	622	RIGHT	3558
2	3	1	1	16	25	34	'Choose a square with far fewer than 30 dots'	1	557	LEFT	927
3	4	2	2	44	35	26	'Choose a square with more than 30 dots'	1	725	LEFT	914
4	3	2	2	54	45	36	'Choose a square with far more than 40 dots'	1	634	LEFT	1090
1	2	1	2	6	15	24	'Choose a square with 24 dots'	1	657	RIGHT	1177
2	4	1	1	16	25	34	'Choose a square with fewer than 30 dots'	1	592	LEFT	865
3	3	1	2	26	35	44	'Choose a square with far more than 30 dots'	1	962	RIGHT	894
4	4	2	1	54	45	36	'Choose a square with fewer than 50 dots'	1	1373	RIGHT	1041
1	3	2	2	24	15	6	'Choose a square with far more than 10 dots'	1	732	LEFT	856
2	1	2	2	34	25	16	'Choose a square with about 30 dots'	1	786	LEFT	972
3	4	1	2	26	35	44	'Choose a square with more than 30 dots'	1	729	RIGHT	908
4	2	2	2	54	45	36	'Choose a square with 54 dots'	1	811	LEFT	1117
1	4	2	1	24	15	6	'Choose a square with fewer than 20 dots'	1	700	RIGHT	794
2	2	2	2	34	25	16	'Choose a square with 34 dots'	1	742	LEFT	882
3	2	2	1	44	35	26	'Choose a square with 26 dots'	1	634	LEFT	1172
4	1	1	2	36	45	54	'Choose a square with about 50 dots'	1	615	RIGHT	817
1	1	2	2	24	15	6	'Choose a square with about 20 dots'	1	698	LEFT	760
2	2	2	1	34	25	16	'Choose a square with 16 dots'	1	692	RIGHT	1103
3	1	1	2	26	35	44	'Choose a square with about 40 dots'	1	674	RIGHT	1041
4	3	2	1	54	45	36	'Choose a square with far fewer than 50 dots'	1	771	RIGHT	1510
1	3	1	1	6	15	24	'Choose a square with far fewer than 20 dots'	1	718	LEFT	612
2	2	1	1	16	25	34	'Choose a square with 16 dots'	1	671	LEFT	734
3	4	2	1	44	35	26	'Choose a square with fewer than 40 dots'	1	954	RIGHT	1030
4	2	1	2	36	45	54	'Choose a square with 54 dots'	1	577	RIGHT	747
1	2	2	1	24	15	6	'Choose a square with 6 dots'	1	681	RIGHT	1262
2	3	2	2	34	25	16	'Choose a square with far more than 20 dots'	1	784	LEFT	779
3	1	2	2	44	35	26	'Choose a square with about 40 dots'	1	615	LEFT	712
4	1	2	2	54	45	36	'Choose a square with about 50 dots'	1	559	LEFT	930
1	4	1	2	6	15	24	'Choose a square with more than 10 dots'	1	862	RIGHT	1111
2	3	1	2	16	25	34	'Choose a square with far more than 20 dots'	1	1166	RIGHT	643
3	4	1	1	26	35	44	'Choose a square with fewer than 40 dots'	1	707	LEFT	665
4	3	1	1	36	45	54	'Choose a square with far fewer than 50 dots'	1	832	LEFT	737
1	1	1	1	6	15	24	'Choose a square with about 10 dots'	1	623	LEFT	695
2	4	2	1	34	25	16	'Choose a square with fewer than 30 dots'	1	830	RIGHT	814
3	1	1	1	26	35	44	'Choose a square with about 30 dots'	1	578	RIGHT	1395
4	1	2	1	54	45	36	'Choose a square with about 40 dots'	1	585	LEFT	683
1	2	1	1	6	15	24	'Choose a square with 6 dots'	1	538	LEFT	710
2	1	2	1	34	25	16	'Choose a square with about 20 dots'	1	691	MIDDLE	1994
3	3	2	1	44	35	26	'Choose a square with far fewer than 40 dots'	1	681	RIGHT	887
4	4	1	1	36	45	54	'Choose a square with fewer than 50 dots'	1	624	LEFT	1080
1	1	1	2	6	15	24	'Choose a square with about 20 dots'	1	560	RIGHT	1309
2	1	1	1	16	25	34	'Choose a square with about 20 dots'	1	587	MIDDLE	1454
3	2	1	2	26	35	44	'Choose a square with 44 dots'	1	553	RIGHT	1252
4	1	1	1	36	45	54	'Choose a square with about 40 dots'	1	687	RIGHT	837
1	4	2	2	24	15	6	'Choose a square with more than 10 dots'	1	798	LEFT	769
2	1	1	2	16	25	34	'Choose a square with about 30 dots'	1	758	RIGHT	976
3	2	2	2	44	35	26	'Choose a square with 44 dots'	1	728	LEFT	706
4	4	2	2	54	45	36	'Choose a square with more than 40 dots'	1	560	LEFT	715
1	3	1	1	6	15	24	'Choose a square with far fewer than 20 dots'	1	1233	LEFT	676
2	1	1	2	16	25	34	'Choose a square with about 30 dots'	1	763	RIGHT	855
3	3	1	1	26	35	44	'Choose a square with far fewer than 40 dots'	1	632	LEFT	640
4	2	2	2	54	45	36	'Choose a square with 54 dots'	1	512	LEFT	693
1	4	1	2	6	15	24	'Choose a square with more than 10 dots'	1	443	RIGHT	770
2	3	1	2	16	25	34	'Choose a square with far more than 20 dots'	1	655	RIGHT	654
3	4	1	1	26	35	44	'Choose a square with fewer than 40 dots'	1	791	LEFT	649
4	2	1	2	36	45	54	'Choose a square with 54 dots'	1	385	RIGHT	658
1	4	2	1	24	15	6	'Choose a square with fewer than 20 dots'	1	563	RIGHT	662
2	3	2	1	34	25	16	'Choose a square with far fewer than 30 dots'	1	726	RIGHT	705
3	4	2	2	44	35	26	'Choose a square with more than 30 dots'	1	592	LEFT	706
4	3	1	2	36	45	54	'Choose a square with far more than 40 dots'	1	617	RIGHT	681
1	2	1	2	6	15	24	'Choose a square with 24 dots'	1	498	RIGHT	671
2	3	1	1	16	25	34	'Choose a square with far fewer than 30 dots'	1	558	LEFT	833
3	2	1	1	26	35	44	'Choose a square with 26 dots'	1	530	MIDDLE	2718
4	4	2	2	54	45	36	'Choose a square with more than 40 dots'	1	507	LEFT	1047
1	1	2	2	24	15	6	'Choose a square with about 20 dots'	1	505	LEFT	767
2	2	2	1	34	25	16	'Choose a square with 16 dots'	1	490	RIGHT	1312
3	2	2	2	44	35	26	'Choose a square with 44 dots'	1	439	LEFT	792
4	4	2	1	54	45	36	'Choose a square with fewer than 50 dots'	1	523	RIGHT	1982
1	4	1	1	6	15	24	'Choose a square with fewer than 20 dots'	1	543	LEFT	602
2	4	1	2	16	25	34	'Choose a square with more than 20 dots'	1	532	RIGHT	840
3	4	2	1	44	35	26	'Choose a square with fewer than 40 dots'	1	522	RIGHT	789
4	3	2	1	54	45	36	'Choose a square with far fewer than 50 dots'	1	745	RIGHT	1077
1	1	2	1	24	15	6	'Choose a square with about 10 dots'	1	645	RIGHT	1733
2	2	1	2	16	25	34	'Choose a square with 34 dots'	1	558	RIGHT	801
3	4	1	2	26	35	44	'Choose a square with more than 30 dots'	1	555	RIGHT	999
4	3	1	1	36	45	54	'Choose a square with far fewer than 50 dots'	1	578	MIDDLE	1813
1	2	2	2	24	15	6	'Choose a square with 24 dots'	1	460	LEFT	945
2	2	2	2	34	25	16	'Choose a square with 34 dots'	1	559	LEFT	1122
3	1	2	2	44	35	26	'Choose a square with about 40 dots'	1	585	LEFT	1139
4	1	2	2	54	45	36	'Choose a square with about 50 dots'	1	649	LEFT	1369
1	1	1	2	6	15	24	'Choose a square with about 20 dots'	1	479	RIGHT	1172
2	1	2	2	34	25	16	'Choose a square with about 30 dots'	1	498	LEFT	806
3	2	1	2	26	35	44	'Choose a square with 44 dots'	1	540	RIGHT	668
4	1	2	1	54	45	36	'Choose a square with about 40 dots'	1	595	LEFT	846
1	3	1	2	6	15	24	'Choose a square with far more than 10 dots'	1	1134	RIGHT	613
2	2	1	1	16	25	34	'Choose a square with 16 dots'	1	599	LEFT	967
3	3	1	2	26	35	44	'Choose a square with far more than 30 dots'	1	684	RIGHT	643
4	3	2	2	54	45	36	'Choose a square with far more than 40 dots'	1	667	LEFT	619
1	4	2	2	24	15	6	'Choose a square with more than 10 dots'	1	644	LEFT	820
2	1	2	1	34	25	16	'Choose a square with about 20 dots'	1	567	MIDDLE	1776
3	1	2	1	44	35	26	'Choose a square with about 30 dots'	1	512	LEFT	1381
4	4	1	1	36	45	54	'Choose a square with fewer than 50 dots'	1	563	LEFT	813
1	1	1	1	6	15	24	'Choose a square with about 10 dots'	1	678	LEFT	645
2	4	2	2	34	25	16	'Choose a square with more than 20 dots'	1	815	LEFT	1080
3	3	2	2	44	35	26	'Choose a square with far more than 30 dots'	1	608	LEFT	832
4	2	1	1	36	45	54	'Choose a square with 36 dots'	1	474	MIDDLE	936
1	2	2	1	24	15	6	'Choose a square with 6 dots'	1	543	RIGHT	793
2	3	2	2	34	25	16	'Choose a square with far more than 20 dots'	1	620	LEFT	766
3	2	2	1	44	35	26	'Choose a square with 26 dots'	1	505	MIDDLE	1392
4	4	1	2	36	45	54	'Choose a square with more than 40 dots'	1	469	RIGHT	1083
1	2	1	1	6	15	24	'Choose a square with 6 dots'	1	539	LEFT	591
2	1	1	1	16	25	34	'Choose a square with about 20 dots'	1	794	MIDDLE	811
3	1	1	2	26	35	44	'Choose a square with about 40 dots'	1	493	RIGHT	723
4	1	1	2	36	45	54	'Choose a square with about 50 dots'	1	521	RIGHT	661
1	3	2	2	24	15	6	'Choose a square with far more than 10 dots'	1	621	LEFT	1423
2	4	2	1	34	25	16	'Choose a square with fewer than 30 dots'	1	601	RIGHT	963
3	1	1	1	26	35	44	'Choose a square with about 30 dots'	1	657	RIGHT	927
4	2	2	1	54	45	36	'Choose a square with 36 dots'	1	526	LEFT	889
1	3	2	1	24	15	6	'Choose a square with far fewer than 20 dots'	1	497	RIGHT	694
2	4	1	1	16	25	34	'Choose a square with fewer than 30 dots'	1	669	LEFT	612
3	3	2	1	44	35	26	'Choose a square with far fewer than 40 dots'	1	661	RIGHT	621
4	1	1	1	36	45	54	'Choose a square with about 40 dots'	1	551	RIGHT	651
1	4	2	1	24	15	6	'Choose a square with fewer than 20 dots'	1	1276	RIGHT	757
2	4	2	2	34	25	16	'Choose a square with more than 20 dots'	1	745	LEFT	621
3	1	2	1	44	35	26	'Choose a square with about 30 dots'	1	702	LEFT	805
4	1	1	2	36	45	54	'Choose a square with about 50 dots'	1	648	RIGHT	736
1	2	2	1	24	15	6	'Choose a square with 6 dots'	1	524	RIGHT	569
2	2	2	2	34	25	16	'Choose a square with 34 dots'	1	540	LEFT	671
3	1	2	2	44	35	26	'Choose a square with about 40 dots'	1	495	LEFT	636
4	3	1	2	36	45	54	'Choose a square with far more than 40 dots'	1	510	RIGHT	554
1	3	1	1	6	15	24	'Choose a square with far fewer than 20 dots'	1	598	LEFT	577
