"Subject" "Item" "vagueness" "selection" "RT"
"1" 1 1 "vague" "comparison" 996
"2" 1 2 "crisp" "matching" 1332
"3" 1 3 "vague" "comparison" 1083
"4" 1 4 "vague" "comparison" 1234
"5" 1 1 "crisp" "matching" 1369
"6" 1 2 "crisp" "comparison" 971
"7" 1 3 "vague" "comparison" 966
"8" 1 4 "crisp" "matching" 1656
"9" 1 1 "vague" "comparison" 1017
"10" 1 2 "vague" "comparison" 1033
"11" 1 3 "crisp" "matching" 2329
"12" 1 4 "crisp" "comparison" 990
"13" 1 1 "crisp" "comparison" 945
"14" 1 2 "crisp" "comparison" 1022
"15" 1 3 "vague" "matching" 1709
"16" 1 4 "crisp" "matching" 1151
"17" 1 1 "vague" "matching" 3558
"18" 1 2 "vague" "comparison" 927
"19" 1 3 "crisp" "comparison" 914
"20" 1 4 "vague" "comparison" 1090
"21" 1 1 "crisp" "matching" 1177
"22" 1 2 "crisp" "comparison" 865
"23" 1 3 "vague" "comparison" 894
"24" 1 4 "crisp" "comparison" 1041
"25" 1 1 "vague" "comparison" 856
"26" 1 2 "vague" "matching" 972
"27" 1 3 "crisp" "comparison" 908
"28" 1 4 "crisp" "matching" 1117
"29" 1 1 "crisp" "comparison" 794
"30" 1 2 "crisp" "matching" 882
"31" 1 3 "crisp" "matching" 1172
"32" 1 4 "vague" "matching" 817
"33" 1 1 "vague" "matching" 760
"34" 1 2 "crisp" "matching" 1103
"35" 1 3 "vague" "matching" 1041
"36" 1 4 "vague" "comparison" 1510
"37" 1 1 "vague" "comparison" 612
"38" 1 2 "crisp" "matching" 734
"39" 1 3 "crisp" "comparison" 1030
"40" 1 4 "crisp" "matching" 747
"41" 1 1 "crisp" "matching" 1262
"42" 1 2 "vague" "comparison" 779
"43" 1 3 "vague" "matching" 712
"44" 1 4 "vague" "matching" 930
"45" 1 1 "crisp" "comparison" 1111
"46" 1 2 "vague" "comparison" 643
"47" 1 3 "crisp" "comparison" 665
"48" 1 4 "vague" "comparison" 737
"49" 1 1 "vague" "matching" 695
"50" 1 2 "crisp" "comparison" 814
"51" 1 3 "vague" "matching" 1395
"52" 1 4 "vague" "matching" 683
"53" 1 1 "crisp" "matching" 710
"54" 1 2 "vague" "matching" 1994
"55" 1 3 "vague" "comparison" 887
"56" 1 4 "crisp" "comparison" 1080
"57" 1 1 "vague" "matching" 1309
"58" 1 2 "vague" "matching" 1454
"59" 1 3 "crisp" "matching" 1252
"60" 1 4 "vague" "matching" 837
"61" 1 1 "crisp" "comparison" 769
"62" 1 2 "vague" "matching" 976
"63" 1 3 "crisp" "matching" 706
"64" 1 4 "crisp" "comparison" 715
"65" 1 1 "vague" "comparison" 676
"66" 1 2 "vague" "matching" 855
"67" 1 3 "vague" "comparison" 640
"68" 1 4 "crisp" "matching" 693
"69" 1 1 "crisp" "comparison" 770
"70" 1 2 "vague" "comparison" 654
"71" 1 3 "crisp" "comparison" 649
"72" 1 4 "crisp" "matching" 658
"73" 1 1 "crisp" "comparison" 662
"74" 1 2 "vague" "comparison" 705
"75" 1 3 "crisp" "comparison" 706
"76" 1 4 "vague" "comparison" 681
"77" 1 1 "crisp" "matching" 671
"78" 1 2 "vague" "comparison" 833
"79" 1 3 "crisp" "matching" 2718
"80" 1 4 "crisp" "comparison" 1047
"81" 1 1 "vague" "matching" 767
"82" 1 2 "crisp" "matching" 1312
"83" 1 3 "crisp" "matching" 792
"84" 1 4 "crisp" "comparison" 1982
"85" 1 1 "crisp" "comparison" 602
"86" 1 2 "crisp" "comparison" 840
"87" 1 3 "crisp" "comparison" 789
"88" 1 4 "vague" "comparison" 1077
"89" 1 1 "vague" "matching" 1733
"90" 1 2 "crisp" "matching" 801
"91" 1 3 "crisp" "comparison" 999
