Sub	Trl	Itm	Cnd	Ord	Qty	Prm	Lft	Mid	Rgt	key	rt	Ins
7	101	1	2	1	1	6	6	15	24	L	1645	Choose a square with the same number of dots as the target
7	102	2	1	2	1	20	34	25	16	R	1207	Choose a square with about the same number of dots as the target
7	103	3	4	1	1	40	26	35	44	L	1139	Choose a square with fewer dots than the target
7	104	4	3	2	1	50	54	45	36	R	1714	Choose a square with far fewer dots than the target
7	105	1	4	1	2	10	6	15	24	M	2288	Choose a square with more dots than the target
7	106	2	4	1	1	30	16	25	34	L	908	Choose a square with fewer dots than the target
7	107	3	3	1	2	30	26	35	44	R	794	Choose a square with far more dots than the target
7	108	4	1	1	2	50	36	45	54	M	1161	Choose a square with about the same number of dots as the target
7	109	1	1	1	2	20	6	15	24	M	1960	Choose a square with about the same number of dots as the target
7	110	2	3	1	2	20	16	25	34	R	1553	Choose a square with far more dots than the target
7	111	3	2	2	1	26	44	35	26	M	2779	Choose a square with the same number of dots as the target
7	112	4	3	1	1	50	36	45	54	L	1234	Choose a square with far fewer dots than the target
7	113	1	3	1	1	20	6	15	24	L	687	Choose a square with far fewer dots than the target
7	114	2	1	1	1	20	16	25	34	L	1150	Choose a square with about the same number of dots as the target
7	115	3	1	1	1	30	26	35	44	L	1456	Choose a square with about the same number of dots as the target
7	116	4	2	2	1	36	54	45	36	R	1824	Choose a square with the same number of dots as the target
7	117	1	4	1	1	20	6	15	24	M	1700	Choose a square with fewer dots than the target
7	118	2	2	1	1	16	16	25	34	M	3656	Choose a square with the same number of dots as the target
7	119	3	3	2	2	30	44	35	26	R	1235	Choose a square with far more dots than the target
7	120	4	2	1	2	54	36	45	54	M	1516	Choose a square with the same number of dots as the target
7	121	1	1	1	1	10	6	15	24	M	1450	Choose a square with about the same number of dots as the target
7	122	2	4	2	2	20	34	25	16	L	1113	Choose a square with more dots than the target
7	123	3	4	2	1	40	44	35	26	R	999	Choose a square with fewer dots than the target
7	124	4	4	1	1	50	36	45	54	L	1364	Choose a square with fewer dots than the target
7	125	1	3	1	2	10	6	15	24	R	880	Choose a square with far more dots than the target
7	126	2	2	2	1	16	34	25	16	M	1176	Choose a square with the same number of dots as the target
7	127	3	1	2	2	40	44	35	26	M	1125	Choose a square with about the same number of dots as the target
7	128	4	3	2	2	40	54	45	36	L	702	Choose a square with far more dots than the target
7	129	1	1	2	1	10	24	15	6	R	692	Choose a square with about the same number of dots as the target
7	130	2	4	1	2	20	16	25	34	M	1102	Choose a square with more dots than the target
7	131	3	1	2	1	30	44	35	26	M	1608	Choose a square with about the same number of dots as the target
7	132	4	3	1	2	40	36	45	54	R	827	Choose a square with far more dots than the target
7	133	1	2	1	2	24	6	15	24	M	1504	Choose a square with the same number of dots as the target
7	134	2	3	2	2	20	34	25	16	L	668	Choose a square with far more dots than the target
7	135	3	4	1	2	30	26	35	44	R	1348	Choose a square with more dots than the target
7	136	4	4	2	1	50	54	45	36	R	817	Choose a square with fewer dots than the target
7	137	1	3	2	1	20	24	15	6	R	572	Choose a square with far fewer dots than the target
7	138	2	3	1	1	30	16	25	34	L	483	Choose a square with far fewer dots than the target
7	139	3	2	2	2	44	44	35	26	M	1567	Choose a square with the same number of dots as the target
7	140	4	2	1	1	36	36	45	54	L	914	Choose a square with the same number of dots as the target
7	141	1	2	2	1	6	24	15	6	R	538	Choose a square with the same number of dots as the target
7	142	2	2	2	2	34	34	25	16	M	1195	Choose a square with the same number of dots as the target
7	143	3	4	2	2	30	44	35	26	L	578	Choose a square with more dots than the target
7	144	4	4	2	2	40	54	45	36	L	790	Choose a square with more dots than the target
7	145	1	4	2	1	20	24	15	6	R	1108	Choose a square with fewer dots than the target
7	146	2	3	2	1	30	34	25	16	R	671	Choose a square with far fewer dots than the target
7	147	3	3	1	1	40	26	35	44	L	803	Choose a square with far fewer dots than the target
7	148	4	1	2	2	50	54	45	36	M	842	Choose a square with about the same number of dots as the target
7	149	1	4	2	2	10	24	15	6	M	1804	Choose a square with more dots than the target
