"Subject" "Trial" "Condition" "Order" "Quantity" "Vagueness" "c_Vag" "Selection" "c_Sel" "Item" "c_Itm" "Target" "Ins" "switchResponse" "RT" "RT_log"
"1" "s01" 1 "Matching Crisp" "RtoL" "Large" "Crisp" -0.5 "Matching" 0.5 "06:15:24" -0.75 24 "Choose a square with the same number of dots as the target" "Expected" 1849 7.52240023138712
"2" "s01" 2 "Comparison Crisp" "RtoL" "Small" "Crisp" -0.5 "Comparison" -0.5 "16:25:34" -0.25 30 "Choose a square with fewer dots than the target" "Expected" 1789 7.48941208350872
"3" "s01" 3 "Comparison Crisp" "LtoR" "Large" "Crisp" -0.5 "Comparison" -0.5 "26:35:44" 0.25 30 "Choose a square with more dots than the target" "Expected" 1322 7.18690102041163
"4" "s01" 4 "Matching Vague" "LtoR" "Small" "Vague" 0.5 "Matching" 0.5 "36:45:54" 0.75 40 "Choose a square with about the same number of dots as the target" "Near" 2477 7.81480342948936
"5" "s01" 5 "Comparison Vague" "RtoL" "Large" "Vague" 0.5 "Comparison" -0.5 "06:15:24" -0.75 10 "Choose a square with far more dots than the target" "Expected" 1881 7.53955882930103
"6" "s01" 6 "Comparison Crisp" "RtoL" "Large" "Crisp" -0.5 "Comparison" -0.5 "16:25:34" -0.25 20 "Choose a square with more dots than the target" "Near" 2735 7.91388671485608
"7" "s01" 7 "Comparison Vague" "LtoR" "Large" "Vague" 0.5 "Comparison" -0.5 "26:35:44" 0.25 30 "Choose a square with far more dots than the target" "Expected" 1649 7.4079243225596
"8" "s01" 8 "Matching Vague" "RtoL" "Large" "Vague" 0.5 "Matching" 0.5 "36:45:54" 0.75 50 "Choose a square with about the same number of dots as the target" "Far" 2232 7.7106533235012
"9" "s01" 9 "Comparison Crisp" "LtoR" "Small" "Crisp" -0.5 "Comparison" -0.5 "06:15:24" -0.75 20 "Choose a square with fewer dots than the target" "Expected" 1994 7.59789795052178
"10" "s01" 10 "Comparison Vague" "RtoL" "Small" "Vague" 0.5 "Comparison" -0.5 "16:25:34" -0.25 30 "Choose a square with far fewer dots than the target" "Expected" 1163 7.05875815251866
"11" "s01" 11 "Matching Vague" "LtoR" "Small" "Vague" 0.5 "Matching" 0.5 "26:35:44" 0.25 30 "Choose a square with about the same number of dots as the target" "Expected" 1418 7.25700270709207
"12" "s01" 12 "Matching Crisp" "LtoR" "Large" "Crisp" -0.5 "Matching" 0.5 "36:45:54" 0.75 54 "Choose a square with the same number of dots as the target" "Near" 1248 7.12929754892937
"13" "s01" 13 "Matching Crisp" "LtoR" "Large" "Crisp" -0.5 "Matching" 0.5 "06:15:24" -0.75 24 "Choose a square with the same number of dots as the target" "Expected" 1315 7.18159194461187
"14" "s01" 14 "Comparison Vague" "LtoR" "Small" "Vague" 0.5 "Comparison" -0.5 "16:25:34" -0.25 30 "Choose a square with far fewer dots than the target" "Expected" 1725 7.45298232946546
"15" "s01" 15 "Matching Crisp" "RtoL" "Small" "Crisp" -0.5 "Matching" 0.5 "26:35:44" 0.25 26 "Choose a square with the same number of dots as the target" "Expected" 1429 7.26473017792987
"16" "s01" 16 "Comparison Vague" "RtoL" "Small" "Vague" 0.5 "Comparison" -0.5 "36:45:54" 0.75 50 "Choose a square with far fewer dots than the target" "Expected" 2813 7.94200680848986
"17" "s01" 17 "Matching Vague" "RtoL" "Large" "Vague" 0.5 "Matching" 0.5 "06:15:24" -0.75 20 "Choose a square with about the same number of dots as the target" "Near" 1305 7.17395831975679
"18" "s01" 18 "Comparison Vague" "LtoR" "Large" "Vague" 0.5 "Comparison" -0.5 "16:25:34" -0.25 20 "Choose a square with far more dots than the target" "Expected" 1957 7.57916796739608
"19" "s01" 19 "Comparison Vague" "RtoL" "Small" "Vague" 0.5 "Comparison" -0.5 "26:35:44" 0.25 40 "Choose a square with far fewer dots than the target" "Far" 3153 8.05610965954506
"20" "s01" 20 "Matching Vague" "LtoR" "Large" "Vague" 0.5 "Matching" 0.5 "36:45:54" 0.75 50 "Choose a square with about the same number of dots as the target" "Near" 1865 7.53101633207792
"21" "s01" 21 "Comparison Vague" "LtoR" "Small" "Vague" 0.5 "Comparison" -0.5 "06:15:24" -0.75 20 "Choose a square with far fewer dots than the target" "Expected" 1162 7.05789793741186
"22" "s01" 22 "Matching Vague" "RtoL" "Small" "Vague" 0.5 "Matching" 0.5 "16:25:34" -0.25 20 "Choose a square with about the same number of dots as the target" "Near" 1620 7.39018142822643
"23" "s01" 23 "Matching Vague" "LtoR" "Large" "Vague" 0.5 "Matching" 0.5 "26:35:44" 0.25 40 "Choose a square with about the same number of dots as the target" "Far" 2309 7.7445698093545
"24" "s01" 24 "Matching Crisp" "RtoL" "Small" "Crisp" -0.5 "Matching" 0.5 "36:45:54" 0.75 36 "Choose a square with the same number of dots as the target" "Expected" 2181 7.68753876620163
"25" "s01" 25 "Matching Vague" "LtoR" "Small" "Vague" 0.5 "Matching" 0.5 "06:15:24" -0.75 10 "Choose a square with about the same number of dots as the target" "Expected" 1830 7.51207124583547
"26" "s01" 26 "Comparison Vague" "RtoL" "Large" "Vague" 0.5 "Comparison" -0.5 "16:25:34" -0.25 20 "Choose a square with far more dots than the target" "Far" 1287 7.16006920759613
"27" "s01" 27 "Comparison Vague" "LtoR" "Small" "Vague" 0.5 "Comparison" -0.5 "26:35:44" 0.25 40 "Choose a square with far fewer dots than the target" "Expected" 1081 6.98564181763921
"28" "s01" 28 "Comparison Crisp" "RtoL" "Small" "Crisp" -0.5 "Comparison" -0.5 "36:45:54" 0.75 50 "Choose a square with fewer dots than the target" "Expected" 2263 7.72444664563354
"29" "s01" 29 "Comparison Crisp" "LtoR" "Large" "Crisp" -0.5 "Comparison" -0.5 "06:15:24" -0.75 10 "Choose a square with more dots than the target" "Expected" 1501 7.31388683163346
"30" "s01" 30 "Matching Crisp" "RtoL" "Large" "Crisp" -0.5 "Matching" 0.5 "16:25:34" -0.25 34 "Choose a square with the same number of dots as the target" "Expected" 2181 7.68753876620163
"31" "s01" 31 "Comparison Crisp" "RtoL" "Small" "Crisp" -0.5 "Comparison" -0.5 "26:35:44" 0.25 40 "Choose a square with fewer dots than the target" "Expected" 1626 7.39387829010776
"32" "s01" 32 "Comparison Vague" "RtoL" "Large" "Vague" 0.5 "Comparison" -0.5 "36:45:54" 0.75 40 "Choose a square with far more dots than the target" "Expected" 2283 7.7332456465298
"33" "s01" 33 "Matching Crisp" "LtoR" "Small" "Crisp" -0.5 "Matching" 0.5 "06:15:24" -0.75 6 "Choose a square with the same number of dots as the target" "Expected" 2320 7.74932246466036
"34" "s01" 34 "Matching Vague" "LtoR" "Large" "Vague" 0.5 "Matching" 0.5 "16:25:34" -0.25 30 "Choose a square with about the same number of dots as the target" "Near" 1831 7.51261754467451
"35" "s01" 35 "Matching Vague" "RtoL" "Large" "Vague" 0.5 "Matching" 0.5 "26:35:44" 0.25 40 "Choose a square with about the same number of dots as the target" "Near" 1708 7.44307837434852
"36" "s01" 36 "Matching Crisp" "RtoL" "Large" "Crisp" -0.5 "Matching" 0.5 "36:45:54" 0.75 54 "Choose a square with the same number of dots as the target" "Near" 1603 7.37963215260955
"37" "s01" 37 "Comparison Vague" "RtoL" "Small" "Vague" 0.5 "Comparison" -0.5 "06:15:24" -0.75 20 "Choose a square with far fewer dots than the target" "Near" 1469 7.29233717617388
"38" "s01" 38 "Matching Vague" "RtoL" "Large" "Vague" 0.5 "Matching" 0.5 "16:25:34" -0.25 30 "Choose a square with about the same number of dots as the target" "Far" 2359 7.76599307940768
"39" "s01" 39 "Comparison Crisp" "LtoR" "Small" "Crisp" -0.5 "Comparison" -0.5 "26:35:44" 0.25 40 "Choose a square with fewer dots than the target" "Expected" 1986 7.59387784460512
"40" "s01" 40 "Comparison Vague" "LtoR" "Large" "Vague" 0.5 "Comparison" -0.5 "36:45:54" 0.75 40 "Choose a square with far more dots than the target" "Near" 1805 7.49831587076698
"41" "s01" 41 "Comparison Crisp" "RtoL" "Large" "Crisp" -0.5 "Comparison" -0.5 "06:15:24" -0.75 10 "Choose a square with more dots than the target" "Near" 3090 8.03592636989179
"42" "s01" 42 "Matching Crisp" "RtoL" "Small" "Crisp" -0.5 "Matching" 0.5 "16:25:34" -0.25 16 "Choose a square with the same number of dots as the target" "Expected" 1376 7.22693601849329
"43" "s01" 43 "Matching Crisp" "LtoR" "Small" "Crisp" -0.5 "Matching" 0.5 "26:35:44" 0.25 26 "Choose a square with the same number of dots as the target" "Expected" 1420 7.25841215059531
"44" "s01" 44 "Comparison Crisp" "LtoR" "Large" "Crisp" -0.5 "Comparison" -0.5 "36:45:54" 0.75 40 "Choose a square with more dots than the target" "Near" 2581 7.85593219971861
"45" "s01" 45 "Matching Vague" "LtoR" "Large" "Vague" 0.5 "Matching" 0.5 "06:15:24" -0.75 20 "Choose a square with about the same number of dots as the target" "Near" 2100 7.64969262371151
"46" "s01" 46 "Comparison Crisp" "LtoR" "Small" "Crisp" -0.5 "Comparison" -0.5 "16:25:34" -0.25 30 "Choose a square with fewer dots than the target" "Expected" 1912 7.55590509361135
"47" "s01" 47 "Comparison Crisp" "RtoL" "Large" "Crisp" -0.5 "Comparison" -0.5 "26:35:44" 0.25 30 "Choose a square with more dots than the target" "Expected" 2043 7.62217459481762
"48" "s01" 48 "Comparison Vague" "LtoR" "Small" "Vague" 0.5 "Comparison" -0.5 "36:45:54" 0.75 50 "Choose a square with far fewer dots than the target" "Expected" 1724 7.45240245122364
"49" "s01" 49 "Matching Vague" "RtoL" "Small" "Vague" 0.5 "Matching" 0.5 "06:15:24" -0.75 10 "Choose a square with about the same number of dots as the target" "Near" 2020 7.61085279039525
"50" "s01" 50 "Comparison Crisp" "LtoR" "Large" "Crisp" -0.5 "Comparison" -0.5 "16:25:34" -0.25 20 "Choose a square with more dots than the target" "Expected" 2058 7.62948991639399
"51" "s01" 51 "Matching Crisp" "LtoR" "Large" "Crisp" -0.5 "Matching" 0.5 "26:35:44" 0.25 44 "Choose a square with the same number of dots as the target" "Near" 2078 7.63916117165917
"52" "s01" 52 "Comparison Crisp" "LtoR" "Small" "Crisp" -0.5 "Comparison" -0.5 "36:45:54" 0.75 50 "Choose a square with fewer dots than the target" "Expected" 1881 7.53955882930103
"53" "s01" 53 "Comparison Vague" "LtoR" "Large" "Vague" 0.5 "Comparison" -0.5 "06:15:24" -0.75 10 "Choose a square with far more dots than the target" "Expected" 1217 7.10414409298753
"54" "s01" 54 "Matching Vague" "LtoR" "Small" "Vague" 0.5 "Matching" 0.5 "16:25:34" -0.25 20 "Choose a square with about the same number of dots as the target" "Expected" 1369 7.22183582528845
"55" "s01" 55 "Matching Vague" "RtoL" "Small" "Vague" 0.5 "Matching" 0.5 "26:35:44" 0.25 30 "Choose a square with about the same number of dots as the target" "Expected" 1752 7.46851327149634
"56" "s01" 56 "Matching Crisp" "LtoR" "Small" "Crisp" -0.5 "Matching" 0.5 "36:45:54" 0.75 36 "Choose a square with the same number of dots as the target" "Expected" 1736 7.4593388952203
"57" "s01" 57 "Comparison Crisp" "RtoL" "Small" "Crisp" -0.5 "Comparison" -0.5 "06:15:24" -0.75 20 "Choose a square with fewer dots than the target" "Expected" 1182 7.07496319796604
"58" "s01" 58 "Matching Crisp" "LtoR" "Small" "Crisp" -0.5 "Matching" 0.5 "16:25:34" -0.25 16 "Choose a square with the same number of dots as the target" "Expected" 1665 7.41758040241454
"59" "s01" 59 "Comparison Vague" "RtoL" "Large" "Vague" 0.5 "Comparison" -0.5 "26:35:44" 0.25 30 "Choose a square with far more dots than the target" "Far" 1156 7.05272104923232
"60" "s01" 60 "Matching Vague" "RtoL" "Small" "Vague" 0.5 "Matching" 0.5 "36:45:54" 0.75 40 "Choose a square with about the same number of dots as the target" "Near" 1315 7.18159194461187
"61" "s01" 61 "Matching Crisp" "RtoL" "Small" "Crisp" -0.5 "Matching" 0.5 "06:15:24" -0.75 6 "Choose a square with the same number of dots as the target" "Near" 2020 7.61085279039525
"62" "s01" 62 "Matching Crisp" "LtoR" "Large" "Crisp" -0.5 "Matching" 0.5 "16:25:34" -0.25 34 "Choose a square with the same number of dots as the target" "Near" 1497 7.31121838441963
"63" "s01" 63 "Matching Crisp" "RtoL" "Large" "Crisp" -0.5 "Matching" 0.5 "26:35:44" 0.25 44 "Choose a square with the same number of dots as the target" "Expected" 1946 7.57353126274595
"64" "s01" 64 "Comparison Crisp" "RtoL" "Large" "Crisp" -0.5 "Comparison" -0.5 "36:45:54" 0.75 40 "Choose a square with more dots than the target" "Expected" 2271 7.72797554210556
"65" "s01" 65 "Comparison Crisp" "RtoL" "Small" "Crisp" -0.5 "Comparison" -0.5 "06:15:24" -0.75 20 "Choose a square with fewer dots than the target" "Expected" 1184 7.07665381544395
"66" "s01" 66 "Comparison Crisp" "LtoR" "Large" "Crisp" -0.5 "Comparison" -0.5 "16:25:34" -0.25 20 "Choose a square with more dots than the target" "Expected" 960 6.86693328446188
"67" "s01" 67 "Matching Crisp" "LtoR" "Small" "Crisp" -0.5 "Matching" 0.5 "26:35:44" 0.25 26 "Choose a square with the same number of dots as the target" "Near" 1476 7.29709100516042
"68" "s01" 68 "Comparison Crisp" "LtoR" "Small" "Crisp" -0.5 "Comparison" -0.5 "36:45:54" 0.75 50 "Choose a square with fewer dots than the target" "Expected" 1476 7.29709100516042
"69" "s01" 69 "Comparison Crisp" "LtoR" "Small" "Crisp" -0.5 "Comparison" -0.5 "06:15:24" -0.75 20 "Choose a square with fewer dots than the target" "Expected" 1879 7.53849499941346
"70" "s01" 70 "Matching Vague" "LtoR" "Large" "Vague" 0.5 "Matching" 0.5 "16:25:34" -0.25 30 "Choose a square with about the same number of dots as the target" "Far" 1806 7.49886973397693
"71" "s01" 71 "Comparison Vague" "LtoR" "Large" "Vague" 0.5 "Comparison" -0.5 "26:35:44" 0.25 30 "Choose a square with far more dots than the target" "Expected" 1583 7.36707705988101
"72" "s01" 72 "Matching Crisp" "RtoL" "Large" "Crisp" -0.5 "Matching" 0.5 "36:45:54" 0.75 54 "Choose a square with the same number of dots as the target" "Far" 2638 7.87777633327726
"73" "s01" 73 "Matching Crisp" "LtoR" "Large" "Crisp" -0.5 "Matching" 0.5 "06:15:24" -0.75 24 "Choose a square with the same number of dots as the target" "Near" 1797 7.49387388678356
"74" "s01" 74 "Matching Vague" "LtoR" "Small" "Vague" 0.5 "Matching" 0.5 "16:25:34" -0.25 20 "Choose a square with about the same number of dots as the target" "Expected" 2115 7.65681009148038
"75" "s01" 75 "Matching Crisp" "RtoL" "Large" "Crisp" -0.5 "Matching" 0.5 "26:35:44" 0.25 44 "Choose a square with the same number of dots as the target" "Near" 2460 7.80791662892641
"76" "s01" 76 "Matching Crisp" "LtoR" "Small" "Crisp" -0.5 "Matching" 0.5 "36:45:54" 0.75 36 "Choose a square with the same number of dots as the target" "Near" 2020 7.61085279039525
"77" "s01" 77 "Matching Vague" "RtoL" "Large" "Vague" 0.5 "Matching" 0.5 "06:15:24" -0.75 20 "Choose a square with about the same number of dots as the target" "Near" 888 6.78897174299217
"78" "s01" 78 "Comparison Vague" "RtoL" "Large" "Vague" 0.5 "Comparison" -0.5 "16:25:34" -0.25 20 "Choose a square with far more dots than the target" "Expected" 1597 7.37588214821501
"79" "s01" 79 "Matching Vague" "LtoR" "Large" "Vague" 0.5 "Matching" 0.5 "26:35:44" 0.25 40 "Choose a square with about the same number of dots as the target" "Near" 1793 7.49164547360513
